TrainerID;Nationality
931;Germany
932;Netherlands
934;Germany
935;Germany
936;Germany
937;Germany
938;Germany
939;Germany
940;Germany
941;Germany
944;Germany
945;Germany
947;Germany
948;Germany
949;Germany
950;Germany
951;Peru
952;Turkey
953;Germany
954;Germany
955;Germany
957;Germany
958;Germany
959;Switzerland
960;Italy
960;Switzerland
962;Switzerland
963;Switzerland
964;Germany
965;Germany
966;Germany
967;Germany
968;Germany
969;Poland
970;Germany
971;Germany
973;Germany
974;Germany
975;Germany
976;Germany
977;Germany
978;Germany
979;Germany
980;Germany
981;Germany
982;Germany
982;Switzerland
983;Denmark
984;Germany
985;Germany
986;Germany
987;Czech
987;Republic
989;Germany
990;Romania
992;Germany
993;Germany
994;Austria
995;Germany
996;Germany
997;Germany
998;England
999;Germany
1000;Germany
1006;Ukraine
1007;Germany
1010;Belgium
1013;Germany
1013;Italy
1015;Germany
1016;Germany
1017;Serbia
1018;Bolivia
1019;Bulgaria
1020;Germany
1021;Germany
1022;Germany
1022;Turkey
1023;Germany
1025;Germany
1027;Germany
1029;Germany
1031;Germany
1033;Germany
1034;Germany
1035;Germany
1036;Germany
1037;Portugal
1039;Poland
1040;Germany
1041;Cote
1041;d'Ivoire
1041;France
1042;Portugal
1043;Poland
1046;Germany
1047;Germany
1048;Germany
1049;Germany
1050;France
1051;France
1053;Austria
1055;Norway
1056;Czech
1056;Republic
1058;Czech
1058;Republic
1061;Turkey
1064;Germany
1066;Netherlands
1066;Suriname
1067;Russia
1067;UdSSR
1068;Brazil
1068;Italy
1069;Germany
1071;Italy
1072;Germany
1078;Germany
1079;Croatia
1080;Germany
1081;Germany
1082;Germany
1083;Germany
1084;Austria
1087;Bosnia-Herzegovina
1087;Germany
1089;Austria
1091;Germany
1097;Norway
1099;Belgium
1100;Sweden
1107;Germany
1109;Poland
1115;Germany
1115;Poland
1116;Germany
1119;Belgium
1119;Netherlands
1121;Germany
1122;Germany
1131;Germany
1132;Germany
1133;Poland
1135;Slovenia
1137;Belgium
1137;Spain
1143;Belgium
1143;Croatia
1144;Germany
1145;Germany
1153;Switzerland
1154;Bosnia-Herzegovina
1154;Greece
1155;Germany
1162;Germany
1163;Sweden
1178;Germany
1182;Germany
1183;Hungary
1186;Czech
1186;Italy
1186;Republic
1195;Germany
1196;Germany
1199;Germany
1201;Germany
1211;Germany
1212;Germany
1219;Sweden
1222;Czech
1222;Republic
1224;France
1225;France
1226;France
1227;Romania
1228;France
1229;France
1230;Algeria
1230;France
1231;Bosnia-Herzegovina
1232;France
1232;Switzerland
1233;France
1234;France
1236;France
1237;France
1238;France
1239;France
1240;France
1241;France
1248;Cyprus
1248;Serbia
1252;Greece
1254;Germany
1262;Sweden
1263;Netherlands
1264;Italy
1266;Germany
1269;Netherlands
1270;Netherlands
1271;Netherlands
1272;Romania
1273;Netherlands
1273;Suriname
1274;Netherlands
1275;Netherlands
1278;Greece
1281;Netherlands
1283;Netherlands
1288;Netherlands
1289;Greece
1291;France
1292;Italy
1294;Italy
1295;Italy
1299;Serbia
1300;France
1300;Serbia
1303;Germany
1305;Germany
1306;Italy
1312;Switzerland
1313;Switzerland
1314;Switzerland
1315;Bosnia-Herzegovina
1315;Switzerland
1318;Switzerland
1320;Romania
1320;Switzerland
1321;Switzerland
1323;Bosnia-Herzegovina
1324;Switzerland
1327;Netherlands
1332;Greece
1332;Romania
1334;Germany
1337;Czech
1337;Republic
1340;Greece
1343;Netherlands
1344;Germany
1355;Germany
1361;Germany
1366;Ireland
1366;Northern
1370;Croatia
1381;Germany
1392;Denmark
1395;Germany
1406;Germany
1407;Germany
1418;Germany
1426;Netherlands
1427;Germany
1428;Netherlands
1432;Switzerland
1434;Germany
1437;Bosnia-Herzegovina
1439;Belgium
1445;Sweden
1446;Sweden
1448;Germany
1449;Germany
1450;Romania
1451;Denmark
1454;Germany
1462;France
1464;Germany
1471;France
1474;Germany
1477;Netherlands
1478;Netherlands
1479;Netherlands
1481;Croatia
1482;Germany
1487;Germany
1488;Italy
1489;Hungary
1490;Iceland
1491;Lithuania
1500;Germany
1503;Switzerland
1508;Denmark
1512;Ukraine
1516;Hungary
1517;Germany
1518;Germany
1519;Slovenia
1520;Germany
1521;Germany
1522;Spain
1523;England
1524;England
1525;England
1527;England
1528;England
1530;Sweden
1531;France
1531;Uruguay
1536;France
1537;France
1537;Spain
1539;France
1540;Bosnia-Herzegovina
1540;France
1542;France
1542;Spain
1543;Switzerland
1547;France
1548;Mexico
1548;Spain
1550;Spain
1551;Spain
1552;Spain
1553;Spain
1554;Spain
1555;Spain
1556;Spain
1558;Chile
1559;Spain
1560;Germany
1561;Israel
1562;Croatia
1563;Czech
1563;Republic
1569;England
1571;Germany
1572;Portugal
1573;England
1578;Spain
1580;Germany
1581;Russia
1583;Scotland
1584;England
1585;England
1586;Portugal
1588;Portugal
1589;Portugal
1590;Portugal
1593;Portugal
1594;Angola
1594;Portugal
1595;Portugal
1598;England
1598;Ireland
1598;Northern
1609;Finland
1610;Netherlands
1612;Argentina
1612;Switzerland
1613;France
1616;Croatia
1617;Bosnia-Herzegovina
1617;Croatia
1618;Croatia
1623;Romania
1625;Germany
1636;Czech
1636;Republic
1646;Wales
1647;France
1647;Italy
1648;Austria
1649;England
1650;England
1662;Germany
1664;Austria
1669;Germany
1676;Montenegro
1676;Netherlands
1683;Ireland
1683;Northern
1686;Scotland
1687;Russia
1687;UdSSR
1690;England
1696;Portugal
1697;Scotland
1698;Spain
1701;Scotland
1702;Wales
1703;Scotland
1705;Scotland
1707;England
1708;England
1709;Wales
1712;England
1717;England
1718;Scotland
1721;England
1722;Scotland
1727;France
1729;France
1730;Germany
1733;France
1733;Poland
1736;France
1742;Wales
1752;Belgium
1760;Norway
1762;Norway
1763;Norway
1766;Germany
1769;Greece
1771;Germany
1775;England
1778;Belgium
1782;Greece
1790;Russia
1790;UdSSR
1798;Macedonia
1798;North
1799;Italy
1799;Romania
1800;Norway
1801;Norway
1802;Norway
1804;Norway
1805;Brazil
1806;France
1809;Italy
1810;Italy
1812;Scotland
1813;Sweden
1815;Netherlands
1816;Argentina
1821;Germany
1825;Wales
1827;Russia
1828;Scotland
1832;Italy
1834;Brazil
1834;Portugal
1837;Belgium
1840;Belgium
1842;Germany
1847;France
1848;Belgium
1856;Portugal
1857;Portugal
1859;Belgium
1866;Belgium
1866;Spain
1870;Netherlands
1873;Netherlands
1876;Netherlands
1880;Netherlands
1883;Netherlands
1886;Netherlands
1895;Belgium
1896;Cape
1896;Portugal
1896;Verde
1899;England
1903;Belgium
1905;Belgium
1905;Italy
1906;Austria
1908;Croatia
1909;England
1910;Croatia
1910;Switzerland
1911;Croatia
1916;England
1919;Germany
1920;Germany
1922;Germany
1923;Germany
1924;Germany
1925;Romania
1926;Germany
1927;Sweden
1928;Germany
1928;Italy
1930;Germany
1931;Italy
1932;Italy
1933;Italy
1934;Italy
1936;Netherlands
1937;Italy
1938;Austria
1939;Hungary
1941;Ireland
1942;England
1963;Germany
1964;Czech
1964;Republic
1974;Belgium
1976;Brazil
1980;Germany
1981;Germany
1982;Austria
1982;Germany
1985;Germany
1986;Germany
1987;France
1988;England
1990;England
1992;England
1993;Scotland
1994;England
1998;England
2001;England
2002;Scotland
2003;Ireland
2003;Northern
2005;Germany
2019;Turkey
2024;France
2027;Italy
2028;Italy
2029;Netherlands
2030;Belgium
2031;Germany
2031;Greece
2035;Germany
2035;Poland
2037;Scotland
2039;Spain
2045;Netherlands
2046;France
2047;Italy
2048;Ukraine
2049;Italy
2050;Germany
2052;Belgium
2055;Scotland
2058;France
2060;Italy
2061;Hungary
2063;Portugal
2065;Netherlands
2067;Netherlands
2067;Suriname
2068;Greece
2071;Hungary
2072;Scotland
2073;Russia
2077;Serbia
2078;Bosnia-Herzegovina
2078;Serbia
2081;Argentina
2083;Germany
2084;Germany
2085;Czech
2085;Republic
2089;Poland
2090;England
2091;Germany
2099;Italy
2100;Norway
2107;Romania
2114;Poland
2119;Austria
2120;Netherlands
2121;Brazil
2122;Italy
2123;Italy
2127;Italy
2128;Italy
2130;Italy
2132;Italy
2135;Italy
2136;Italy
2139;Italy
2140;Italy
2141;Italy
2142;Serbia
2145;Portugal
2146;France
2147;England
2148;Netherlands
2156;Germany
2158;Austria
2188;Greece
2190;Netherlands
2196;Slovakia
2198;Netherlands
2200;Netherlands
2232;Germany
2233;Austria
2234;Netherlands
2235;Austria
2238;Italy
2252;Italy
2259;Italy
2269;Italy
2278;Germany
2281;Germany
2282;Netherlands
2283;Portugal
2285;Netherlands
2289;Netherlands
2290;Germany
2291;Austria
2291;Netherlands
2292;Switzerland
2296;Austria
2299;Austria
2300;Austria
2302;France
2302;Italy
2303;France
2305;Netherlands
2307;Austria
2307;Poland
2308;Bulgaria
2310;Germany
2311;Germany
2311;Switzerland
2312;Netherlands
2316;Austria
2317;Spain
2324;Germany
2325;Austria
2327;Brazil
2332;Turkey
2335;Greece
2336;Germany
2341;Finland
2342;Germany
2346;France
2365;Netherlands
2367;Germany
2369;Belgium
2369;France
2370;Greece
2370;Ukraine
2371;Romania
2373;Belgium
2379;Germany
2383;Sweden
2387;Switzerland
2388;Germany
2389;Bosnia-Herzegovina
2389;Germany
2390;Germany
2400;Germany
2403;France
2406;Austria
2412;France
2426;Croatia
2434;Austria
2436;Bosnia-Herzegovina
2438;Germany
2440;Serbia
2440;Slovenia
2441;Austria
2443;Austria
2450;Germany
2451;Sweden
2452;Italy
2454;Germany
2455;Greece
2459;Croatia
2460;Scotland
2461;Portugal
2462;Portugal
2465;Austria
2467;Poland
