PlayerID;CompetitionID;Games;Goals;Assists;YellowCards;RedCards
1;L1;0;0;0;0;0
7;L1;0;0;0;0;0
15;CL;5;1;0;0;0
15;L1;0;0;0;0;0
19;CL;8;1;1;1;0
19;L1;0;0;0;0;0
20;CL;5;0;0;0;0
20;L1;0;0;0;0;0
24;L1;0;0;0;0;0
31;L1;0;0;0;0;0
48;L1;0;0;0;0;0
49;L1;0;0;0;0;0
52;L1;0;0;0;0;0
59;L1;0;0;0;0;0
62;CL;0;0;0;0;0
62;L1;0;0;0;0;0
68;CL;2;0;0;0;0
68;L1;7;0;1;0;0
71;CL;0;0;0;0;0
71;GB1;0;0;0;0;0
71;L1;0;0;0;0;0
85;CL;0;0;0;0;0
85;L1;0;0;0;0;0
89;CL;0;0;0;0;0
89;L1;0;0;0;0;0
92;CL;0;0;0;0;0
92;L1;0;0;0;0;0
94;CL;0;0;0;0;0
94;GB1;18;0;0;3;0
94;L1;0;0;0;0;0
95;CL;0;0;0;0;0
95;L1;13;0;0;0;1
105;CL;1;0;0;0;0
105;L1;0;0;0;0;0
112;L1;0;0;0;0;0
113;CL;0;0;0;0;0
113;L1;0;0;0;0;0
114;CL;0;0;0;0;0
114;L1;0;0;0;0;0
115;CL;0;0;0;0;0
115;L1;0;0;0;0;0
122;CL;0;0;0;0;0
122;GB1;0;0;0;0;0
122;L1;0;0;0;0;0
123;CL;0;0;0;0;0
123;L1;0;0;0;0;0
126;CL;3;0;0;0;0
126;L1;0;0;0;0;0
130;CL;0;0;0;0;0
130;L1;0;0;0;0;0
135;CL;0;0;0;0;0
135;L1;0;0;0;0;0
136;CL;0;0;0;0;0
136;L1;0;0;0;0;0
142;L1;0;0;0;0;0
151;L1;0;0;0;0;0
154;CL;1;0;0;0;0
154;L1;0;0;0;0;0
160;L1;0;0;0;0;0
161;L1;0;0;0;0;0
163;L1;13;0;1;1;0
173;L1;0;0;0;0;0
175;L1;0;0;0;0;0
176;L1;0;0;0;0;0
177;L1;2;0;0;1;0
180;L1;0;0;0;0;0
183;L1;7;0;0;0;0
185;L1;0;0;0;0;0
196;CL;0;0;0;0;0
196;L1;0;0;0;0;0
197;CL;0;0;0;0;0
197;L1;0;0;0;0;0
205;CL;1;0;0;0;0
205;GB1;0;0;0;0;0
205;L1;0;0;0;0;0
206;CL;0;0;0;0;0
206;L1;0;0;0;0;0
209;CL;0;0;0;0;0
209;L1;0;0;0;0;0
211;L1;0;0;0;0;0
216;CL;0;0;0;0;0
216;L1;0;0;0;0;0
222;CL;0;0;0;0;0
222;GB1;32;3;0;5;0
222;L1;0;0;0;0;0
231;L1;0;0;0;0;0
246;L1;0;0;0;0;0
248;L1;0;0;0;0;0
251;L1;0;0;0;0;0
254;GB1;27;2;0;1;0
254;L1;0;0;0;0;0
258;CL;0;0;0;0;0
258;L1;0;0;0;0;0
259;CL;5;0;0;1;0
259;L1;0;0;0;0;0
270;CL;7;0;1;0;0
270;L1;0;0;0;0;0
271;L1;13;0;0;0;0
275;CL;3;0;0;1;0
275;L1;0;0;0;0;0
279;CL;0;0;0;0;0
279;L1;0;0;0;0;0
284;CL;0;0;0;0;0
284;L1;0;0;0;0;0
285;CL;0;0;0;0;0
285;L1;0;0;0;0;0
304;L1;1;0;0;0;0
306;CL;3;0;0;0;0
306;L1;0;0;0;0;0
310;CL;5;0;0;1;0
310;L1;0;0;0;0;0
313;CL;6;0;2;0;0
313;L1;0;0;0;0;0
317;CL;5;2;3;0;0
317;L1;0;0;0;0;0
323;L1;0;0;0;0;0
325;L1;0;0;0;0;0
327;L1;0;0;0;0;0
328;CL;6;2;0;0;0
328;GB1;0;0;0;0;0
328;L1;0;0;0;0;0
337;CL;0;0;0;0;0
337;L1;0;0;0;0;0
353;CL;10;0;0;0;0
353;L1;0;0;0;0;0
356;CL;3;0;1;0;0
356;L1;0;0;0;0;0
360;CL;10;2;1;2;0
360;L1;0;0;0;0;0
361;CL;0;0;0;0;0
361;L1;0;0;0;0;0
362;L1;0;0;0;0;0
368;CL;6;1;1;1;0
368;L1;0;0;0;0;0
370;L1;0;0;0;0;0
377;L1;0;0;0;0;0
379;L1;0;0;0;0;0
387;L1;0;0;0;0;0
394;L1;0;0;0;0;0
402;L1;0;0;0;0;0
410;CL;12;0;0;1;0
410;L1;0;0;0;0;0
411;CL;6;3;2;3;0
411;L1;0;0;0;0;0
413;L1;0;0;0;0;0
423;L1;0;0;0;0;0
424;L1;0;0;0;0;0
427;CL;0;0;0;0;0
427;L1;0;0;0;0;0
431;CL;1;0;0;0;0
