PlayerID;CompetitionID;Games;Goals;Assists;YellowCards;RedCards
15;L1;0;0;0;0;0
20;L1;0;0;0;0;0
31;L1;0;0;0;0;0
95;CL;3;0;0;0;0
113;L1;0;0;0;0;0
114;CL;6;1;0;0;0
114;L1;0;0;0;0;0
115;CL;9;3;0;2;0
122;L1;0;0;0;0;0
126;L1;0;0;0;0;0
130;CL;5;0;1;2;0
130;L1;0;0;0;0;0
135;L1;0;0;0;0;0
136;CL;2;0;0;0;0
136;L1;0;0;0;0;0
154;L1;0;0;0;0;0
196;L1;0;0;0;0;0
197;L1;0;0;0;0;0
206;CL;5;0;0;0;0
206;L1;0;0;0;0;0
209;L1;0;0;0;0;0
216;CL;4;0;0;0;1
216;L1;0;0;0;0;0
222;L1;0;0;0;0;0
231;L1;32;10;4;2;0
246;L1;4;0;0;1;0
259;L1;18;1;2;4;0
270;CL;7;0;1;0;0
270;L1;0;0;0;0;0
285;L1;25;4;0;2;0
310;L1;0;0;0;0;0
313;L1;1;0;0;0;0
323;L1;0;0;0;0;0
327;L1;0;0;0;0;0
328;GB1;0;0;0;0;0
328;L1;0;0;0;0;0
356;L1;0;0;0;0;0
360;L1;0;0;0;0;0
361;L1;0;0;0;0;0
370;L1;0;0;0;0;0
377;L1;0;0;0;0;0
387;L1;0;0;0;0;0
427;L1;0;0;0;0;0
443;L1;137;0;1;52;1
452;CL;1;0;0;0;0
452;L1;0;0;0;0;0
481;L1;9;0;0;1;0
497;L1;0;0;0;0;0
541;L1;18;1;0;2;0
612;L1;0;0;0;0;0
614;L1;0;0;0;0;0
615;CL;0;0;0;0;0
615;L1;0;0;0;0;0
621;L1;13;2;4;1;0
635;L1;0;0;0;0;0
654;L1;0;0;0;0;0
657;L1;3;0;0;0;0
660;CL;0;0;0;0;0
664;L1;4;0;0;1;0
678;L1;0;0;0;0;0
679;L1;0;0;0;0;0
680;L1;0;0;0;0;0
717;CL;3;0;0;0;0
727;L1;0;0;0;0;0
749;L1;0;0;0;0;0
798;L1;0;0;0;0;0
843;L1;7;0;1;0;0
874;L1;8;0;0;0;0
875;L1;0;0;0;0;0
881;L1;17;3;0;3;0
908;L1;7;0;0;2;0
919;CL;6;0;1;2;0
919;L1;0;0;0;0;0
934;L1;0;0;0;0;0
959;L1;6;0;0;0;0
973;L1;0;0;0;0;0
1026;L1;0;0;0;0;0
1049;L1;0;0;0;0;0
1092;L1;0;0;0;0;0
1202;CL;1;0;0;0;0
1285;L1;4;0;0;0;0
1312;L1;3;0;0;1;0
1317;L1;15;2;2;0;0
1417;L1;0;0;0;0;0
1430;CL;1;0;0;0;0
1456;L1;0;0;0;0;0
1521;L1;0;0;0;0;0
1525;CL;6;2;0;1;0
1528;CL;9;0;1;3;0
1528;L1;0;0;0;0;0
1600;CL;2;0;0;0;0
1600;L1;16;3;1;0;0
1619;L1;0;0;0;0;0
1909;L1;7;0;0;0;0
2099;L1;18;0;0;4;0
2216;L1;9;0;1;1;0
2288;L1;30;1;2;5;0
2360;L1;11;1;0;3;0
2717;L1;0;0;0;0;0
2942;CL;5;0;0;0;0
2945;CL;0;0;0;0;0
2951;CL;2;0;0;0;0
2977;L1;0;0;0;0;0
3094;GB1;0;0;0;0;0
3095;CL;7;2;0;0;0
3097;CL;2;0;0;0;0
3129;CL;6;0;0;0;0
3129;GB1;23;3;0;3;0
3133;CL;0;0;0;0;0
3142;GB1;1;0;0;0;0
3152;CL;0;0;0;0;0
3163;GB1;2;0;0;0;0
3210;L1;31;2;0;8;0
3218;CL;6;0;0;0;0
3218;L1;26;4;5;2;0
3239;CL;1;0;0;0;0
3239;GB1;0;0;0;0;0
3283;GB1;0;0;0;0;0
3288;GB1;0;0;0;0;0
3289;CL;10;0;0;1;0
3298;GB1;0;0;0;0;0
3315;GB1;0;0;0;0;0
3357;L1;0;0;0;0;0
3362;GB1;31;1;1;5;0
3396;CL;0;0;0;0;0
3396;GB1;0;0;0;0;0
3475;L1;0;0;0;0;0
3485;GB1;26;1;0;8;0
3506;L1;0;0;0;0;0
3508;CL;0;0;0;0;0
3519;CL;0;0;0;0;0
3571;CL;8;6;1;1;0
3617;GB1;0;0;0;0;0
3633;GB1;0;0;0;0;0
3634;GB1;4;0;0;1;0
3648;GB1;0;0;0;0;0
3683;L1;10;0;0;2;0
3685;GB1;0;0;0;0;0
3736;CL;10;0;0;0;0
3738;GB1;5;0;0;0;0
3742;CL;5;1;1;1;0
3742;GB1;0;0;0;0;0
3745;L1;0;0;0;0;0
3747;GB1;4;0;0;0;0
3765;GB1;0;0;0;0;0
3784;GB1;0;0;0;0;0
3787;GB1;0;0;0;0;0
3836;L1;0;0;0;0;0
3935;GB1;32;1;0;1;0
3958;L1;26;4;3;4;0
3990;CL;8;0;0;1;0
3990;L1;0;0;0;0;0
4006;GB1;0;0;0;0;0
4046;GB1;1;0;0;0;0
4071;CL;1;1;0;0;0
4071;GB1;0;0;0;0;0
4139;GB1;11;0;0;1;0
4175;GB1;24;0;0;0;0
4227;CL;0;0;0;0;0
4229;GB1;0;0;0;0;0
4256;GB1;0;0;0;0;0
4555;L1;10;0;0;1;0
4710;L1;0;0;0;0;0
4715;L1;0;0;0;0;0
4720;L1;0;0;0;0;0
4729;L1;15;1;1;1;0
4735;L1;34;3;6;4;1
4907;CL;0;0;0;0;0
4910;CL;4;0;0;0;0
4941;CL;4;0;0;0;0
5103;L1;0;0;0;0;0
5202;L1;15;0;0;2;0
5263;L1;28;3;1;2;0
5506;CL;1;0;0;0;0
5678;CL;3;0;0;0;0
5748;CL;4;0;0;0;0
5749;CL;9;0;0;0;0
5751;CL;10;0;0;0;0
5758;CL;0;0;0;0;0
5759;CL;9;2;0;1;0
5803;CL;0;0;0;0;0
5935;CL;4;0;0;0;0
6133;L1;1;0;0;0;0
6372;L1;0;0;0;0;0
6463;L1;0;0;0;0;0
6503;L1;0;0;0;0;0
6505;L1;0;0;0;0;0
6512;L1;0;0;0;0;0
