PlayerID;ClubID;Since
38191;41;1953-07-01
56626;416;1951-07-01
75999;170;1950-07-01
94085;41;1952-07-01
94114;82;1954-07-01
96022;3;1948-07-01
96560;16;1952-07-01
100490;4;1954-07-01
102152;65;1948-07-01
126010;800;1952-07-01
135771;131;1942-06-30
136479;709;1953-07-01
137208;170;1950-07-01
151245;417;1953-07-01
151249;419;1954-07-01
151784;234;1954-11-01
152443;234;1951-07-01
153802;610;1950-07-01
154131;234;1952-07-01
155511;621;1948-07-01
170328;170;1946-07-01
170329;170;1953-07-01
170711;418;1954-07-01
170713;418;1952-07-01
170721;1421;1952-07-01
170732;1421;1949-07-01
172231;667;1953-07-01
174158;5;1949-07-01
174163;5;1953-07-01
176040;31;1954-11-01
176741;631;1953-07-01
176902;124;1954-04-01
177216;29;1952-09-01
177292;543;1954-09-01
179149;676;1952-07-01
182034;2844;1953-07-01
190462;398;1953-07-01
193730;5;1945-07-01
193793;418;1950-07-01
216059;279;1952-07-01
222562;1010;1952-07-01
222580;370;1953-07-01
232473;1038;1948-07-01
237180;150;1953-07-01
237700;12;1954-07-01
240591;234;1952-07-01
244343;170;1949-07-01
245258;430;1952-12-01
245265;430;1954-07-01
245297;294;1954-07-01
246907;164;1950-07-01
247059;197;1952-07-01
247099;450;1954-07-01
247430;371;1949-07-01
247874;46;1947-12-01
247880;46;1952-07-01
247881;12;1952-08-01
248636;6195;1952-07-01
248795;131;1944-12-01
248813;418;1946-06-20
249219;6195;1950-12-01
249220;800;1953-07-01
249243;12;1953-07-01
251072;148;1952-12-01
251095;148;1950-07-01
266631;3837;1954-01-01
289377;1044;1951-01-01
289653;985;1952-07-01
289694;430;1954-07-01
289701;430;1949-07-01
291527;289;1952-07-01
292441;141;1953-07-01
293097;506;1954-07-01
293486;46;1953-07-01
293494;279;1950-07-01
293544;12;1954-12-01
293879;162;1954-07-01
295847;800;1954-07-01
297874;9026;1954-07-01
299337;543;1951-07-01
300837;1025;1948-07-01
300898;131;1950-07-01
301114;6195;1950-07-01
302132;204;1953-07-01
303092;588;1950-01-01
303375;410;1953-07-01
306787;279;1954-01-01
308606;1025;1950-07-01
312236;800;1952-07-01
313707;418;1950-07-01
313717;131;1954-07-01
313721;940;1953-07-01
313797;150;1954-07-01
323607;337;1953-10-01
324464;281;1952-07-01
348607;131;1943-07-01
348782;418;1944-12-01
356083;1038;1952-12-01
369034;1038;1954-07-01
369262;6195;1949-07-01
394533;410;1951-07-01
411609;350;1954-07-01
415771;6195;1953-07-01
415775;6195;1951-07-01
422628;506;1953-07-01
422629;800;1954-07-01
439305;36;1927-12-01
449613;337;1952-11-01
461183;12;1950-07-01
466628;162;1952-07-01
468746;410;1951-07-01
473381;12;1954-07-01
497931;1038;1951-07-01
497936;46;1954-07-01
505236;398;1951-07-01
505362;800;1952-07-01
509194;1025;1953-07-01
509238;13;1954-07-01
514460;6195;1950-07-01
514464;6195;1954-07-01
515918;410;1950-07-01
516034;1025;1947-07-01
516035;1038;1952-07-01
516137;6195;1949-07-01
516144;46;1950-07-01
518203;410;1954-12-01
518205;130;1954-07-01
518208;1038;1948-07-01
518216;1390;1953-07-01
518273;46;1949-07-01
519988;800;1951-07-01
522221;1025;1954-07-01
547573;800;1950-07-01
568470;36;1919-07-01
619285;11;1954-07-01
627687;512;1953-09-01
628411;355;1953-01-01
629950;119;1936-07-01
630092;119;1930-07-01
631665;1035;1950-11-01
634879;1035;1953-11-01
643751;164;1954-03-01
645276;148;1951-07-01
677922;1181;1952-07-01
688381;405;1949-09-01
688692;543;1948-09-01
690282;355;1947-10-01
690496;984;1951-08-01
692314;418;1952-07-01
700628;148;1952-01-01
703122;29;1951-09-01
743808;337;1952-07-01
