PlayerID;Position
50816;Attacking Midfield
56626;Left Winger
72381;Centre-Back
72381;Sweeper
89230;Second Striker
89669;Second Striker
94064;Sweeper
94114;Sweeper
95161;Central Midfield
95527;Left Midfield
95534;Second Striker
96975;Right Midfield
97033;Sweeper
97080;Centre-Forward
99711;Centre-Forward
99725;Central Midfield
99725;Defensive Midfield
100533;Second Striker
109415;Left-Back
109415;Sweeper
135744;Attacking Midfield
135744;Second Striker
148020;Centre-Back
166748;Right Winger
170711;Centre-Back
170732;Defensive Midfield
170732;Left Midfield
172231;Central Midfield
172231;Right Winger
176045;Left-Back
176219;Central Midfield
177218;Right Winger
177223;Defensive Midfield
181881;Attacking Midfield
181881;Left Winger
193793;Central Midfield
193793;Centre-Forward
205280;Left Winger
205280;Left-Back
215894;Left Winger
215894;Second Striker
215963;Centre-Back
216059;Right-Back
236054;Left Midfield
236054;Left Winger
237180;Attacking Midfield
237180;Defensive Midfield
237723;Attacking Midfield
237723;Left Winger
237782;Centre-Back
237782;Right-Back
238741;Defensive Midfield
239558;Centre-Back
244896;Centre-Back
245229;Right Winger
245241;Right Winger
245251;Central Midfield
245257;Second Striker
245288;Attacking Midfield
245319;Central Midfield
247163;Second Striker
247430;Right Winger
247881;Central Midfield
247881;Right Midfield
248813;Centre-Forward
248813;Left Winger
249219;Right Winger
249219;Second Striker
251095;Left Midfield
289694;Centre-Forward
289694;Second Striker
289701;Sweeper
299337;Centre-Back
302132;Centre-Back
306389;Centre-Back
313707;Centre-Back
313721;Centre-Forward
313721;Right Winger
314509;Centre-Forward
314509;Left Winger
322767;Central Midfield
324464;Second Striker
348183;Defensive Midfield
348183;Right Midfield
356083;Central Midfield
356083;Left-Back
367771;Left-Back
415771;Right Midfield
415771;Right Winger
415774;Right-Back
516137;Centre-Back
522520;Left Winger
547573;Central Midfield
568470;Centre-Forward
568470;Right Winger
619285;Second Striker
624524;Centre-Forward
625832;Right Midfield
625842;Second Striker
627121;Right-Back
629028;Left-Back
629950;Left Midfield
690282;Centre-Back
721525;Right-Back
