PlayerID;Nationality
10384;England
13775;Germany
17947;Germany
22543;Germany
22775;Hungary
23738;Hungary
25343;Germany
38191;Germany
39670;Germany
39671;Netherlands
42049;Italy
50816;Argentina
50816;Italy
56626;Italy
64813;Switzerland
65919;Germany
67116;Russia
72284;Germany
72351;Germany
72381;Germany
72497;Germany
75999;Austria
77516;Germany
78249;Austria
78388;Austria
78624;Austria
79576;Germany
80261;Germany
81569;Sweden
81612;Germany
81630;Germany
81644;Germany
81651;Germany
81722;Croatia
81737;Germany
84063;Germany
84087;Germany
84093;Germany
84173;Germany
84562;Germany
84686;Germany
84688;Germany
84707;Romania
85459;Germany
85556;Denmark
85590;Germany
85977;Serbia
87474;Germany
87860;Germany
89230;Mozambique
89230;Portugal
89555;Germany
89669;Argentina
89669;Italy
89833;Germany
89856;Germany
89859;Germany
89891;Germany
89899;Germany
89906;Denmark
89937;Germany
89946;Germany
89965;Germany
90231;Austria
91666;Turkey
91920;Scotland
92269;England
92271;Turkey
92278;Turkey
93977;Croatia
94042;Germany
94051;Germany
94056;Germany
94064;Germany
94067;Germany
94071;Germany
94075;Germany
94083;Germany
94085;Germany
94091;Germany
94092;Germany
94108;Germany
94114;Germany
94163;Germany
94896;Austria
94905;Austria
95030;Croatia
95037;Croatia
95040;Germany
95044;Croatia
95048;Germany
95049;Germany
95068;Germany
95072;Turkey
95095;Germany
95103;Germany
95124;Germany
95157;Germany
95161;Netherlands
95390;Germany
95400;Germany
95410;Germany
95441;Germany
95444;Germany
95456;Sweden
95457;Germany
95496;Germany
95515;Germany
95527;Germany
95534;Germany
95553;Germany
95577;Germany
95825;Germany
95826;Germany
95838;Germany
95842;Germany
95846;Germany
95882;Germany
96022;Germany
96027;Germany
96038;Germany
96084;Germany
96198;Germany
96202;Germany
96211;Belgium
96214;Germany
96220;Germany
96263;Germany
96560;Germany
96561;Germany
96592;Germany
96598;Germany
96604;Germany
96625;Germany
96627;Germany
96657;Brazil
96975;Germany
97027;Germany
97033;Germany
97060;Germany
97070;Germany
97080;Germany
97123;Austria
97177;Germany
97187;Germany
97201;Germany
97253;Norway
97288;Germany
97306;Luxembourg
97307;Germany
97311;Denmark
97316;Germany
97324;Portugal
97388;Germany
97425;Poland
97447;Netherlands
97453;Germany
97467;Denmark
97468;Germany
97479;Denmark
97481;Germany
97599;Germany
97602;Germany
97606;Germany
97634;Germany
97636;Germany
97659;Germany
97676;Germany
97685;Germany
97760;Germany
98230;Germany
98237;Germany
99015;Switzerland
99025;Germany
99651;Germany
99655;Turkey
99665;Germany
99711;Germany
99716;Germany
99723;Germany
99725;Germany
99729;Germany
100490;Germany
100492;Germany
100493;Germany
100533;Germany
100549;Austria
100609;Poland
100662;Germany
100718;Germany
100819;Germany
100917;Germany
101051;Netherlands
101052;Netherlands
101104;Sweden
101113;France
101380;England
101380;Singapore
101713;Germany
101998;Netherlands
102152;Germany
102483;Italy
103350;Russia
103728;Switzerland
103753;Denmark
104106;Ireland
104112;Ireland
104112;Scotland
106965;Slovakia
107155;Germany
107171;Croatia
107448;Germany
107455;Germany
107465;Germany
107635;Iceland
107666;Germany
108288;Germany
108296;Germany
108449;Germany
108695;Germany
108724;Germany
108862;Germany
108862;Spain
108993;Germany
109255;Germany
109384;Germany
109415;Germany
109443;Germany
109637;Sweden
109710;Germany
109713;Germany
109756;Germany
109758;Germany
110257;Denmark
110385;Sweden
110710;Germany
112227;Germany
112234;Germany
112485;Germany
112591;Argentina
113317;Portugal
113778;Germany
113965;Germany
113975;Germany
113976;Germany
114243;Germany
115056;Portugal
116067;Uruguay
116128;Denmark
116130;Denmark
116133;Denmark
116137;Denmark
116139;Denmark
116143;Scotland
116145;Scotland
116150;Scotland
116678;Italy
116701;Bulgaria
116723;Bulgaria
116741;Italy
116744;Italy
116757;Italy
117008;Germany
117222;Poland
117247;Portugal
117376;Georgia
117388;Ukraine
117390;Russia
117405;Hungary
117486;France
117493;France
117496;France
117601;Spain
117609;Spain
117626;Brazil
117747;Algeria
117755;Ireland
117755;Northern
117756;Ireland
117756;Northern
117757;Ireland
117757;Northern
117761;Ireland
117761;Northern
117763;Ireland
117763;Northern
118147;Belgium
118155;Belgium
118257;Italy
118338;Ireland
118339;Ireland
119392;Slovenia
119611;Germany
120375;Turkey
120415;Serbia
120475;Norway
120484;Norway
120493;Germany
120495;Germany
120510;Scotland
121092;Spain
121955;Belgium
122138;Romania
122150;Romania
122164;Romania
122746;Portugal
126010;Italy
126890;Brazil
127488;Switzerland
127716;Bosnia-Herzegovina
128883;Italy
128889;Italy
128890;Italy
128892;Italy
129615;Belgium
129633;Austria
129708;Austria
130036;Spain
130303;England
130306;England
130322;England
130988;Belgium
131334;Scotland
131536;Georgia
131537;Belarus
131542;Russia
131614;Spain
131964;Hungary
132335;Romania
132390;Croatia
132392;Serbia
132395;Croatia
132454;Poland
132982;Slovakia
132986;Czech
132986;Republic
133002;Slovakia
133255;Indonesia
133255;Netherlands
133401;Czech
133401;Republic
133633;Scotland
134926;Spain
134946;Sweden
134948;Sweden
135029;Montenegro
135091;Spain
135092;Spain
135093;Spain
135096;Spain
135104;Spain
135266;Scotland
135272;Scotland
135281;Scotland
135283;Scotland
135304;Scotland
135308;Germany
135579;Poland
135594;Sweden
135613;Czech
135613;Republic
135628;Switzerland
135637;Netherlands
135641;Netherlands
135696;Hungary
135707;Hungary
135708;Hungary
135738;Brazil
135744;Spain
135771;Spain
135782;Italy
135784;Italy
135786;Italy
135792;Italy
135800;Argentina
136479;Hungary
136785;Italy
