PlayerID;CompetitionID;Games;Goals;Assists;YellowCards;RedCards
84007;L1;0;0;0;0;0
84022;L1;0;0;0;0;0
84063;L1;0;0;0;0;0
84087;L1;0;0;0;0;0
84093;L1;0;0;0;0;0
84173;L1;0;0;0;0;0
84195;L1;0;0;0;0;0
84554;L1;0;0;0;0;0
84557;CL;10;5;2;0;0
84557;L1;23;7;3;2;0
84562;L1;0;0;0;0;0
84566;L1;0;0;0;0;0
84641;L1;0;0;0;0;0
84649;L1;0;0;0;0;0
84652;L1;28;0;0;1;0
84673;L1;0;0;0;0;0
84680;L1;0;0;0;0;0
84682;L1;0;0;0;0;0
84686;L1;0;0;0;0;0
84692;L1;0;0;0;0;0
84694;L1;0;0;0;0;0
84703;L1;19;2;0;5;0
84707;L1;0;0;0;0;0
84722;L1;0;0;0;0;0
84736;L1;0;0;0;0;0
85459;L1;0;0;0;0;0
85556;L1;0;0;0;0;0
85586;L1;0;0;0;0;0
85590;L1;0;0;0;0;0
85977;L1;0;0;0;0;0
85980;L1;0;0;0;0;0
85986;L1;0;0;0;0;0
86044;L1;0;0;0;0;0
87474;L1;0;0;0;0;0
87860;L1;0;0;0;0;0
87865;L1;0;0;0;0;0
87888;L1;0;0;0;0;0
89545;CL;6;1;1;1;0
89555;L1;0;0;0;0;0
89833;L1;0;0;0;0;0
89856;L1;0;0;0;0;0
89859;L1;0;0;0;0;0
89891;L1;0;0;0;0;0
89899;L1;0;0;0;0;0
89906;L1;0;0;0;0;0
89937;L1;0;0;0;0;0
89946;L1;0;0;0;0;0
89965;L1;0;0;0;0;0
91304;L1;0;0;0;0;0
91652;CL;3;0;0;1;0
91920;GB1;0;0;0;0;0
91979;L1;10;2;0;0;0
91993;L1;0;0;0;0;0
92085;CL;9;2;1;0;0
92271;CL;2;0;0;0;0
92272;CL;0;0;0;0;0
92278;CL;2;0;0;0;0
92282;CL;1;0;0;0;0
92359;CL;3;0;0;1;0
93002;CL;10;3;2;0;0
93977;L1;14;0;0;1;0
94042;L1;0;0;0;0;0
94051;L1;0;0;0;0;0
94056;L1;0;0;0;0;0
94064;L1;0;0;0;0;0
94067;L1;0;0;0;0;0
94071;L1;0;0;0;0;0
94075;L1;0;0;0;0;0
94083;L1;0;0;0;0;0
94085;L1;0;0;0;0;0
94091;L1;0;0;0;0;0
94092;L1;1;0;0;0;0
94108;L1;0;0;0;0;0
94114;L1;0;0;0;0;0
94163;L1;0;0;0;0;0
95030;L1;9;2;0;2;0
95037;L1;0;0;0;0;0
95040;L1;0;0;0;0;0
95044;L1;0;0;0;0;0
95048;L1;0;0;0;0;0
95049;L1;0;0;0;0;0
95068;L1;0;0;0;0;0
95072;L1;0;0;0;0;0
95073;L1;0;0;0;0;0
95095;L1;0;0;0;0;0
95103;L1;0;0;0;0;0
95124;L1;0;0;0;0;0
95157;L1;0;0;0;0;0
95161;L1;0;0;0;0;0
95269;L1;0;0;0;0;0
95316;L1;0;0;0;0;0
95390;L1;0;0;0;0;0
95400;L1;0;0;0;0;0
95410;L1;0;0;0;0;0
95411;L1;3;0;0;0;0
95441;L1;0;0;0;0;0
95444;L1;0;0;0;0;0
95456;L1;0;0;0;0;0
95457;L1;0;0;0;0;0
95496;L1;0;0;0;0;0
95515;L1;0;0;0;0;0
95527;L1;0;0;0;0;0
95534;L1;0;0;0;0;0
95553;L1;0;0;0;0;0
95825;L1;0;0;0;0;0
95826;L1;21;0;0;0;0
95838;L1;0;0;0;0;0
95842;L1;0;0;0;0;0
95846;L1;0;0;0;0;0
95882;L1;0;0;0;0;0
95886;L1;0;0;0;0;0
96022;L1;0;0;0;0;0
96027;L1;0;0;0;0;0
96038;L1;0;0;0;0;0
96084;L1;0;0;0;0;0
96198;L1;0;0;0;0;0
96202;L1;0;0;0;0;0
96211;L1;0;0;0;0;0
