PlayerID;Nationality
4536;Netherlands
4540;Spain
4555;Netherlands
4557;Denmark
4557;Spain
4580;Netherlands
4580;Russia
4582;Netherlands
4600;Netherlands
4602;Russia
4602;Ukraine
4606;Netherlands
4629;Morocco
4629;Netherlands
4693;Netherlands
4703;Germany
4710;Germany
4715;Germany
4720;Germany
4726;Croatia
4729;Czech
4729;Republic
4735;Germany
4744;Netherlands
4767;Argentina
4767;Spain
4789;Spain
4789;Switzerland
4802;Switzerland
4848;Switzerland
4907;Poland
4910;Italy
4910;Switzerland
4913;Austria
4913;Ghana
4929;Italy
4929;Switzerland
4941;France
4941;Switzerland
4958;Austria
4971;Austria
5003;Austria
5090;Germany
5090;Russia
5103;Germany
5117;Germany
5127;Czech
5127;Republic
5182;Senegal
5198;Netherlands
5202;States
5202;United
5203;Germany
5207;Poland
5212;Germany
5214;Germany
5244;Germany
5263;Germany
5279;Iran
5282;France
5282;Senegal
5289;Belgium
5311;Cape
5311;France
5311;Verde
5325;France
5360;France
5364;France
5377;Brazil
5417;France
5417;Réunion
5429;France
5460;France
5480;France
5496;France
5496;Réunion
5506;France
5538;France
5538;Portugal
5548;France
5550;France
5579;Brazil
5625;France
5632;France
5650;Denmark
5651;France
5674;Italy
5674;Uruguay
5748;Italy
5749;Italy
5751;Italy
5758;Netherlands
5758;Suriname
5759;Italy
5774;Italy
5778;Italy
5799;Italy
5803;Italy
5819;Brazil
5832;Italy
5835;Italy
5838;Italy
5850;Cote
5850;d'Ivoire
5850;Italy
5864;Italy
5884;Italy
5900;Italy
5935;Italy
5941;Italy
5953;Brazil
5959;Argentina
5959;Italy
5990;Italy
5997;Italy
6000;Italy
6054;Italy
6063;Italy
6067;Italy
6077;Italy
6126;Bulgaria
6133;Germany
6134;Italy
6134;Switzerland
6141;Croatia
6142;Austria
6224;Germany
6279;France
6296;Italy
6318;Austria
6349;Germany
6355;Sweden
6367;Germany
6372;Germany
6396;Italy
6421;Slovenia
6463;Germany
6476;Germany
6503;Germany
6505;Poland
6505;States
6505;United
6512;Germany
6517;Germany
6559;Norway
6571;Germany
6584;Senegal
6587;France
6589;Hungary
6596;Slovenia
6604;Austria
6605;Germany
6607;Germany
6608;Bulgaria
6634;Bosnia-Herzegovina
6634;Serbia
6705;Germany
6716;Italy
6723;France
6731;Greece
6746;Italy
6781;Italy
6806;Italy
6810;Croatia
6810;Serbia
6814;Italy
6845;Czech
6845;Republic
6846;Slovakia
6847;Denmark
6862;Colombia
6878;Egypt
6900;Bosnia-Herzegovina
6900;Turkey
6985;Argentina
7002;Brazil
7018;Turkey
7024;Turkey
7030;Belgium
7030;Congo
7030;DR
7057;Turkey
7069;Turkey
7098;Italy
7142;Turkey
7164;Turkey
7170;Turkey
7195;Turkey
7212;Turkey
7236;Turkey
7254;Bulgaria
7266;Australia
7266;Croatia
7348;Spain
7381;Croatia
7446;France
7446;Guadeloupe
7457;Spain
7460;Spain
7462;Spain
7464;Spain
7466;Argentina
7466;Spain
7484;Spain
7490;Spain
7496;Spain
7510;Spain
7518;Brazil
