TmID;Name;Country;Foundation;NumTrophies;Street;StreetNumber;ZipCode;City
2288;Swansea City;Wales;1912-09-07;0;Landore;Landore;SA1;2FA
2410;CSKA Moscow;Russia;1911-08-27;0;3-ya Peschanaya,;2a;125252;Moscow
2418;FC Arges Pitesti;Romania;1953-08-06;0;;;;
2441;AEK Athens;Greece;1924-04-13;0;Olympou &;Patmou;15123;Marousi
2444;FC Wacker Innsbruck;Austria;1913-01-01;0;Stadionstrasse;1B;6020;Innsbruck
2503;Boavista Porto FC;Portugal;1903-08-01;0;Rua O Primeiro de;Janeiro;4100-464;Porto
2531;Botev Plovdiv;Bulgaria;1912-03-11;0;2 Voden;str.;4016;Plovdiv
2553;Kilmarnock FC;Scotland;1869-01-05;0;Rugby;Road;KA1;2DP
2573;FK Zeljeznicar Sarajevo;Bosnia-Herzegovina;1921-09-15;0;Zvornicka;27;71000;Sarajevo
2698;Rubin Kazan;Russia;1958-04-20;0;Kopylova,;2;420036;Kazan
2778;FC Nordsjaelland;Denmark;2003-07-01;0;Farum Park;2;3520;Farum
2781;FC Petrzalka;Slovakia;1898-06-07;0;M.C. Sklodowskej;1;851;04
2784;APOEL Nicosia;Cyprus;1926-11-08;0;Dimofontos Str.;39;1075;Nikosia
2817;Strømsgodset IF;Norway;1907-02-10;0;Øvre Eikervei;25;3005;Drammen
2844;IFK Norrköping;Sweden;1897-05-29;0;Ektorpsgatan;6;60237;Norrköping
2961;Moss FK;Norway;1906-08-28;0;Nordahl Griegs gate;26;1524;Moss
2973;RWD Molenbeek;Belgium;1972-11-30;0;;;;
3008;Hull City;England;1904-06-28;0;KCOM;Stadium;HU3;6HU
3057;Standard Liège;Belgium;1900-04-01;0;Rue de la Centrale,;2;4000;Lüttich
3189;Ilves Tampere;Finland;1932-04-10;0;Rieväkatu;12;33540;Tampere
3237;KR Reykjavík;Iceland;1899-02-16;0;Frostaskjóli;2;107;Reykjavík
3258;Shamrock Rovers;Ireland;1899-05-17;0;Whitestown;Way;Dublin;24
3426;Esbjerg fB;Denmark;1924-07-23;0;Gl. Vardevej;88;6700;Esbjerg
3463;Glenavon FC;Northern Ireland;1989-11-01;0;Mourneview;Avenue;BT66;8EW
3471;Linfield FC;Northern Ireland;1886-02-28;0;Windsor Park Donegall;Avenue;BT12;6LW
3793;Beitar Jerusalem;Israel;1935-11-30;0;24 Kanfei Nesharim Str. Givat;Shaul;95464;Jerusalem
3831;Coleraine FC;Northern Ireland;1926-11-30;0;Ballycastle;Road;BT52;2DY
3832;Fram Reykjavík;Iceland;1908-05-01;0;Safamýri;26;108;Reykjavík
3837;Fredrikstad FK;Norway;1903-04-07;0;Mads W. Stangsgate;18;1610;Fredrikstad
3899;Anorthosis Famagusta;Cyprus;1911-01-30;0;Papadopoulos;St.;6307;Larnaka
3909;Shelbourne FC;Ireland;1895-01-01;0;;;;
4024;FC Reipas Lahti;Finland;1891-01-01;0;;;;
4040;FK Partizani;Albania;1946-02-04;0;Rr. Asim Vokshi, P. 13 Katësh, Kati;2;1001;Tiranë
4273;Athlone Town AFC;Ireland;1887-01-08;0;Lissywoollen;Lissywoollen;Athlone,;Co
4286;Limerick FC;Ireland;1936-11-30;0;;;;
4421;Lisburn Distillery FC;Northern Ireland;1879-11-30;0;;;;
4603;AE Larisa;Greece;1964-05-17;0;72 Kyprou Street, Larissa;;41500;Larissa
4668;Csepel FC;Hungary;1911-11-30;0;Béke tér;1;1212;Budapest
4772;NK Olimpija Ljubljana;Slovenia;2005-03-02;0;Dvorakova;3;1000;Ljubljana
4795;FC Ingolstadt 04;Germany;2004-02-05;0;Am Sportpark;1b;85053;Ingolstadt
4959;Otelul Galati;Romania;1964-01-01;0;Str. Anghel Saligny, nr.;2;800324;Galaţi
5200;IFK Malmö;Sweden;1899-04-23;0;Eric Perssons;väg;Malmö;Stad
5225;FC Zbrojovka Brno;Czech Republic;1913-01-14;0;Srbská;47a;61200;Brno
5378;Vasas FC;Hungary;1911-03-16;0;Fáy u.;58;1139;Budapest
5594;Portadown FC;Northern Ireland;1879-11-30;0;Brownstown;Road;BT62;3PZ
5608;SV Tasmania Berlin;Germany;1973-02-03;0;Oderstraße;182;12051;Berlin
5766;Köge Boldklub;Denmark;1927-10-01;0;Ved Stadion;6;4600;Køge
5790;B1909 Odense;Denmark;1909-09-14;0;Gillestedvej;12;5240;Odense
5849;Víkingur Reykjavík;Iceland;1908-04-21;0;Traðarlandi;1;108;Reykjavík
6055;ETO FC Győr ;Hungary;1904-07-01;0;Nagysándor József utca;31.;9027;Győr
6066;Dundalk FC;Ireland;1903-09-01;0;;;;
6139;Atvidabergs FF;Sweden;1907-07-01;0;Box;87;59722;Atvidaberg
6195;SSC Napoli;Italy;1926-08-01;0;Via del Maio di Porto;9;80133;Napoli
6251;Kuopion Palloseura;Finland;1923-03-16;0;Kaartokatu;6;70620;Kuopio
6335;Valletta FC;Malta;1904-01-09;0;126, Triq Santa;Lucija;VLT;1183
6469;Skeid Oslo;Norway;1915-01-01;0;Kjelsåsveien;9;0488;Oslo
6764;PFC Beroe Stara Zagora;Bulgaria;1916-05-06;0;;;;
6983;KF Elbasani;Albania;1923-01-01;0;;;;
7609;Waterford FC;Ireland;1929-11-30;0;;;;
7769;CFR Cluj;Romania;1907-01-01;0;Str. Romulus Vuia nr.;23;400214;Cluj-Napoca
7976;Polonia Bytom;Poland;1945-05-21;0;Rynek;19;41-902;Bytom
8036;ÍBV Vestmannaeyjar;Iceland;1903-04-01;0;Týsheimli við;Hamarsveg;900;Vestmannaeyjar
8037;Keflavík ÍF;Iceland;1955-11-30;0;Hringbraut;108;230;Keflavík,
8042;FC Inter Turku;Finland;1990-01-01;0;Hippoksentie;21;20720;Turku
8043;Kokkolan Pallo-Veikot;Finland;1930-01-01;0;;;;
8671;KF Vllaznia;Albania;1919-02-16;0;;;;
8689;DWS Amsterdam;Netherlands;1907-10-11;0;Spieringhorn;3;1043;AA
8780;Sligo Rovers;Ireland;1927-11-30;0;PO Box;275;Sligo,;Co
9026;Glentoran FC;Northern Ireland;1882-01-01;0;Parkgate Drive, Dee;Street;BT4;1EW
9211;Bohemian Football Club Dublin;Ireland;1890-09-06;0;Phibsborough;Phibsborough;Dublin;7
9465;Petrolul Ploiesti;Romania;1924-01-01;0;Str. Stadionului, nr.;26;100173;Ploiești
10442;Unirea Urziceni;Romania;1954-07-28;0;;;;
10493;FC Kuusysi;Finland;1969-01-01;0;;;;
10603;Floriana FC;Malta;1893-11-30;0;;;;
10604;Hibernians FC;Malta;1930-11-30;0;Antoine De Paule Square;158;1260;Paola
10625;Qarabağ Ağdam;Azerbaijan;1987-06-24;0;Sattar Bahlulzada;24;AZ1000;Agdam
10690;Zorya Lugansk;Ukraine;1922-11-30;0;vul. Oboronna;4v;91033;Lugansk
11912;FC Ararat Yerevan;Armenia;1935-05-10;0;Agatangeghos,;2;0010;Yerevan
12346;FC Progrès Niederkorn;Luxembourg;1919-08-14;0;BP;161;4502;Niederkorn
12460;Flamurtari FC;Albania;1923-03-23;0;Lagja;Pavarsia;9401;Vlorë
13467;Racing FC Union Luxembourg;Luxembourg;2005-05-12;0;Rue Auguste;Lumière;1950;Luxemburg
16786;Kjöbenhavns Boldklub (FCK II);Denmark;1876-04-26;0;Peter Bangs Vej;147;2000;Fredriksberg
17149;Hamrun Spartans;Malta;1906-11-30;0;Triq il-Kbira San Guzepp;143;1015;Hamrun
18774;Boldklubben 1903;Denmark;1903-06-02;0;Lyngbyvej;270;2900;Hellerup
20924;Helsinki IFK;Finland;1897-10-15;0;Döbelninkatu 2 B 17;c;00260;Helsinki
21532;Crusaders FC;Northern Ireland;1898-01-01;0; Shore;Road;BT15;3PL
21598;Gwardia Warszawa;Poland;1948-01-01;0;Racławicka;132;02-634;Warszawa
21945;Aris Bonneweg;Luxembourg;1921-11-30;0;;;;
21955;Union Luxemburg;Luxembourg;1908-02-02;0;;;;
22431;Stal Mielec;Poland;1939-04-10;0;ul. Solskiego;1;39-300;Mielec
26752;SK Admira Vienna;Austria;1904-11-30;0;;;;
31614;PFK Ludogorets Razgrad;Bulgaria;1945-01-01;0;Targovishtko;shose;7200;Razgrad
