TrainerID;ClubID;Since
642;583;1998-07-01
643;85;2003-07-01
645;1184;2014-08-25
650;903;2013-11-12
651;352;2008-01-08
652;511;2002-07-04
654;1519;2003-01-30
657;2553;2010-01-14
660;903;2002-02-25
663;43;2010-01-29
665;370;2003-12-11
669;80;2000-01-01
670;99;1999-07-01
671;447;1990-07-01
672;434;1998-09-27
675;8;2009-09-22
676;1032;2003-10-09
677;48;2009-09-03
678;2844;2008-07-14
680;12;2004-08-30
681;504;2013-07-01
684;1035;2018-01-08
689;101;1999-03-24
693;232;2003-12-10
697;48;2016-12-22
700;204;2012-11-12
703;1020;2008-10-28
705;65;2003-12-30
706;449;2009-07-01
707;354;2014-01-05
711;3057;2010-02-10
712;204;2007-07-01
713;1073;2007-03-26
714;190;2012-06-22
718;383;2008-01-01
719;708;2012-07-01
724;167;2004-09-27
729;1402;2005-12-01
734;328;2016-11-10
742;459;2001-09-25
745;48;2005-01-13
747;299;2011-09-22
748;85;2016-07-07
751;101;1981-04-08
774;23826;2009-07-01
775;129;2018-09-11
780;294;2007-08-20
781;985;2016-07-01
782;1091;2007-09-03
783;20;2002-11-27
788;449;2000-01-06
789;449;2017-10-18
795;449;2006-09-07
796;141;1995-03-29
801;20;2013-02-07
802;20;2003-11-18
804;20;2008-11-04
805;964;2016-05-24
807;449;2003-12-11
810;20;1999-09-16
811;36;2018-12-14
814;20;1999-02-24
818;681;2015-11-09
822;940;2017-07-01
824;995;2009-07-01
826;21;2001-08-24
829;33;1992-07-01
832;21;2005-12-15
836;452;2012-07-01
839;129;2000-03-09
843;86;1971-09-28
844;57;1971-04-16
845;86;1980-02-21
846;86;1969-07-01
847;2441;1981-07-01
848;4;1979-08-19
849;1053;1995-07-01
850;299;1977-11-01
851;86;1977-12-20
852;86;1978-07-01
853;468;2010-04-04
854;86;1997-08-21
857;2282;2005-07-01
858;89;2015-09-01
860;44;1981-12-09
862;2444;1987-07-01
863;52;1981-11-30
864;41;1968-07-01
865;41;1967-07-01
866;41;1970-07-01
867;41;1966-04-18
868;41;1963-07-01
869;24;1982-09-19
870;48;2002-07-01
872;24;2001-04-03
873;24;1993-03-31
874;24;1995-04-03
875;105;1996-10-17
876;15;1982-07-01
878;33;1978-07-01
879;24;1978-07-01
880;1091;1980-04-29
881;107;1968-07-01
882;15;1995-04-10
883;65;1981-07-01
884;667;1976-07-01
885;413;1991-07-01
886;25;1990-11-14
889;39;1995-04-18
890;669;1987-07-01
891;80;2001-02-13
892;33;1993-01-18
893;79;1995-04-25
894;39;1997-03-11
895;27;1991-10-09
896;27;1996-04-28
897;2441;1982-01-27
898;42;1989-07-01
899;30;1965-07-01
900;30;1993-07-01
901;30;1975-03-10
902;30;1985-07-01
903;89;1982-07-19
904;30;1992-03-07
905;30;1969-07-01
907;89;2004-09-28
908;21;1985-07-01
910;30;2009-03-08
911;409;2004-01-01
912;48;1981-11-27
913;122;2003-09-01
914;33;1979-12-05
915;66;1997-10-01
916;66;1990-01-01
917;66;1993-05-11
918;38;1997-09-16
919;82;1995-04-06
920;66;2002-04-03
921;167;1995-07-01
922;39;2000-11-21
923;44;1965-03-09
924;44;1979-12-27
925;44;1985-11-11
926;1096;1996-07-01
927;8;1996-08-29
928;21;2013-10-09
929;459;1992-12-10
930;44;1983-12-11
931;44;1984-07-01
934;113;2002-09-13
935;459;1989-07-01
936;101;1994-07-01
937;52;1986-07-01
938;57;1997-05-20
939;504;1982-07-01
940;18;1987-07-01
941;187;2018-11-14
944;71;1987-07-01
945;10848;1998-07-01
947;2275;1998-01-01
948;52;1985-07-01
949;52;1986-03-30
950;52;1985-09-16
951;52;1983-03-31
952;41;1977-10-28
953;79;1972-07-01
954;91;1981-01-13
955;4;1984-01-01
957;52;1965-02-23
958;52;1980-02-11
959;26;1993-07-01
962;26;1997-03-22
963;26;1998-01-01
964;2;1965-02-24
965;299;1999-07-01
966;299;2007-04-22
967;3;1983-08-24
968;2;1983-03-22
969;429;1986-07-01
970;4;1983-10-26
971;56;1999-07-01
973;80;1979-07-01
974;57;1973-07-01
975;16;1968-04-18
976;16;1968-12-17
977;56;1983-01-18
978;8;1970-07-01
979;3;1997-07-01
980;16;1983-10-31
981;8;1974-11-04
982;434;1994-01-01
984;72;1988-07-01
985;72;1987-04-19
986;72;1984-11-01
987;72;1984-12-01
989;72;1983-09-21
990;72;1984-10-01
992;72;1979-09-21
993;65;1981-03-01
994;72;1969-11-13
995;42;1970-01-02
996;260;1980-02-29
997;8;1971-07-01
998;379;2006-12-13
1000;107;2003-08-28
1006;22220;2018-06-01
1007;429;2008-09-15
1010;354;2010-07-01
1013;52;2014-07-01
1016;459;2017-04-15
1017;60;1984-07-01
1018;2503;2015-12-01
1019;99;2000-09-08
1020;99;2000-08-24
1021;99;2007-07-01
1022;113;2014-12-11
1025;60;1978-09-30
1027;60;1972-07-01
1029;60;1989-08-27
1031;60;1981-07-01
1033;60;1989-12-01
1034;105;1988-07-01
1035;8;1990-07-01
1036;60;1986-03-23
1037;2503;2006-10-23
1039;255;2003-06-13
1040;89;1997-09-26
1041;244;2004-11-28
1042;336;1999-09-26
1043;256;2007-10-02
1046;8;2007-07-01
1047;459;1995-05-01
1048;48;1998-08-27
1049;80;2018-02-12
1050;681;2002-07-01
1051;826;1997-03-17
1053;413;2004-01-13
1055;2961;2010-11-16
1056;715;2002-04-25
1058;377;2016-01-04
1061;36;2017-06-16
1064;99;2008-07-01
1066;72;2004-04-19
1067;232;1937-01-01
1068;631;2008-07-01
1069;129;1995-07-01
1071;71;2013-04-07
1072;95;2008-11-08
1078;35;2007-07-01
1079;419;2005-06-01
1080;167;1999-07-01
1081;57;2011-02-24
1082;33;1967-07-01
1083;409;2004-03-16
1084;14;2004-03-25
1087;328;2011-12-06
1089;676;2006-01-01
1091;129;2009-10-04
1097;157;2011-07-01
1099;2282;1999-07-01
1100;1003;2010-10-02
1107;71;2007-11-05
1115;38;1996-11-24
1116;4;1993-11-10
1119;354;2012-07-01
1121;8;1991-03-20
1122;95;2011-11-16
1131;105;1996-05-03
1132;10848;2003-03-26
1133;88;2004-07-01
1135;4772;2009-07-01
1137;1184;2014-02-24
1143;1096;2004-07-01
1144;113;2011-04-20
1145;206;2016-06-13
1154;829;2010-10-13
1155;91;2013-09-15
1162;10848;1997-12-07
1163;272;2004-04-20
1178;57;2011-10-24
1182;1257;2004-07-01
1183;634;2004-07-01
1186;1390;2015-03-09
1196;328;2012-07-01
1199;113;2014-07-01
1201;89;2004-12-20
1211;107;2009-10-07
1219;239;2006-01-01
1222;540;2009-06-17
1224;826;2013-06-25
1225;995;2003-06-05
1226;244;2013-12-09
1227;1096;2017-07-01
1228;625;2011-07-01
1229;244;2009-07-01
1230;969;2013-07-01
1231;995;2018-10-02
1232;667;1994-07-01
1233;162;2009-07-01
1234;20;2017-06-22
1236;826;2001-11-15
1237;969;2004-02-10
1238;40;2003-10-24
1239;667;2000-11-27
1240;1003;2017-10-25
1241;583;1987-10-25
1248;429;2007-07-01
1252;4603;2016-06-08
1254;71;2018-04-09
1262;801;2006-09-01
1263;8;2012-09-10
1264;5378;2009-12-21
1266;2;2018-02-01
1269;15;2018-12-23
1270;192;2012-07-01
1271;468;2003-02-09
1272;301;2010-08-11
1273;234;2004-07-01
1274;82;2017-02-27
1275;200;2011-07-01
1278;683;2017-09-25
1281;306;2018-07-01
1283;180;2008-07-01
1288;317;2017-10-30
1289;2441;2012-07-01
1291;244;2012-07-04
1294;276;2010-11-09
1295;800;2010-01-11
1299;354;2017-11-01
1300;3057;2015-06-05
1305;299;2004-07-01
1306;952;2001-01-01
1312;938;1994-07-01
1313;260;2013-01-01
1314;2055;2004-07-01
1315;398;2012-07-01
1318;61;2013-08-21
1320;952;2003-01-11
1321;116;2015-03-23
1323;321;2004-04-20
1327;354;2018-01-24
1332;786;2002-09-23
1334;101;2002-07-01
1337;62;2010-03-30
1340;1091;2007-01-23
1343;15;1988-07-01
1344;222;2009-07-01
1355;92;2004-07-01
1361;101;2008-06-07
1366;371;2016-05-20
1370;65;2017-09-10
1381;328;2000-07-01
1392;173;2014-09-30
1395;85;2007-09-21
1406;48;1968-07-01
1407;79;1969-07-01
1418;107;1989-03-06
1426;192;1998-03-07
1427;27;2008-07-01
1428;468;2014-01-01
1432;116;2004-08-06
1434;56;2016-04-06
1439;1184;2004-07-01
1445;801;1999-01-01
1446;1044;2014-01-01
1448;101;1924-07-01
1451;443;2007-04-03
1454;30;2008-11-21
1462;157;2000-11-02
1464;321;2008-07-01
1474;533;1999-03-15
1477;195;2018-07-19
1478;192;2001-07-01
