PlayerID;Position
3284;Right Midfield
3288;Left-Back
3312;Right-Back
3335;Central Midfield
3337;Left Winger
3337;Right Winger
3358;Central Midfield
3375;Centre-Forward
3375;Second Striker
3400;Left Winger
3400;Left-Back
3411;Left Winger
3411;Right Winger
3413;Attacking Midfield
3413;Left Winger
3416;Central Midfield
3418;Centre-Forward
3418;Left Winger
3449;Right-Back
3451;Defensive Midfield
3458;Right Winger
3458;Second Striker
3467;Left Winger
3474;Centre-Forward
3474;Right Midfield
3475;Attacking Midfield
3475;Defensive Midfield
3485;Central Midfield
3508;Left Midfield
3515;Central Midfield
3519;Right Midfield
3525;Centre-Back
3530;Central Midfield
3568;Centre-Back
3573;Left-Back
3585;Left Winger
3585;Right Winger
3601;Central Midfield
3601;Defensive Midfield
3606;Left Midfield
3621;Left Winger
3624;Central Midfield
3648;Right-Back
3654;Centre-Back
3683;Attacking Midfield
3683;Centre-Forward
3686;Left-Back
3691;Central Midfield
3727;Defensive Midfield
3747;Central Midfield
3747;Left-Back
3753;Central Midfield
3753;Left Midfield
3765;Centre-Back
3765;Defensive Midfield
3775;Centre-Back
3784;Central Midfield
3784;Centre-Back
3785;Defensive Midfield
3789;Defensive Midfield
3789;Left-Back
3809;Central Midfield
3811;Centre-Back
3814;Central Midfield
3814;Defensive Midfield
3836;Attacking Midfield
3842;Centre-Back
3842;Right Winger
3865;Left Midfield
3865;Right Midfield
3877;Right Midfield
3878;Central Midfield
3878;Centre-Back
3887;Attacking Midfield
3907;Right-Back
3915;Right Midfield
3915;Right Winger
3920;Left Midfield
3925;Central Midfield
3926;Centre-Forward
3926;Right Winger
3940;Defensive Midfield
3940;Right Midfield
3990;Central Midfield
3990;Centre-Back
4009;Left Winger
4009;Right Winger
4011;Right-Back
4046;Left-Back
4053;Left-Back
4060;Right-Back
4066;Left Winger
4071;Central Midfield
4071;Left Midfield
4087;Attacking Midfield
4087;Left Midfield
4114;Right Winger
4127;Central Midfield
4127;Left Midfield
4128;Left Midfield
4135;Central Midfield
4135;Left-Back
4139;Defensive Midfield
4139;Right Midfield
4153;Attacking Midfield
4203;Defensive Midfield
4227;Central Midfield
4240;Attacking Midfield
4240;Defensive Midfield
4291;Defensive Midfield
4298;Defensive Midfield
4299;Central Midfield
4299;Centre-Back
4326;Centre-Back
4326;Right-Back
4328;Left Winger
4328;Second Striker
4338;Centre-Back
4338;Left Midfield
4376;Central Midfield
4376;Right Midfield
4400;Centre-Forward
4401;Central Midfield
4401;Right Midfield
4425;Defensive Midfield
4425;Left Midfield
4427;Attacking Midfield
4427;Left Midfield
4441;Defensive Midfield
4441;Right-Back
4442;Right Midfield
4442;Right-Back
4500;Left Midfield
4557;Attacking Midfield
4557;Left Winger
4580;Right Midfield
4588;Left Midfield
4610;Right-Back
4626;Attacking Midfield
4644;Centre-Back
4644;Defensive Midfield
4659;Defensive Midfield
4689;Left Midfield
4702;Central Midfield
4710;Centre-Back
4710;Right Midfield
4715;Central Midfield
4715;Right Midfield
4720;Defensive Midfield
4720;Left-Back
4735;Sweeper
4744;Defensive Midfield
4744;Right-Back
4756;Defensive Midfield
4756;Right-Back
4797;Defensive Midfield
4797;Right-Back
4825;Defensive Midfield
4858;Centre-Forward
4869;Central Midfield
4869;Centre-Back
4888;Central Midfield
4888;Defensive Midfield
4906;Central Midfield
4906;Defensive Midfield
4913;Attacking Midfield
4918;Centre-Back
4918;Right-Back
4977;Right Winger
4977;Second Striker
5001;Left-Back
5003;Right Midfield
5005;Defensive Midfield
5061;Left Midfield
5117;Sweeper
5182;Attacking Midfield
5189;Attacking Midfield
5189;Left Midfield
5195;Centre-Forward
5198;Centre-Back
5198;Left Midfield
5202;Centre-Back
5202;Right Midfield
5214;Left Winger
5214;Right Winger
5249;Defensive Midfield
5285;Left Midfield
5286;Left-Back
5299;Second Striker
5311;Left Midfield
5325;Left Midfield
5329;Left Winger
5329;Right Winger
5340;Right-Back
5352;Central Midfield
5357;Left Winger
5357;Second Striker
5367;Defensive Midfield
5418;Right-Back
5428;Central Midfield
5428;Centre-Back
5429;Right Winger
5438;Left Winger
5438;Second Striker
5440;Right Winger
5440;Second Striker
5457;Attacking Midfield
5457;Left Midfield
5464;Attacking Midfield
5464;Second Striker
5480;Central Midfield
5480;Defensive Midfield
5490;Left Winger
5492;Right Winger
5500;Centre-Back
5500;Right-Back
5506;Left-Back
5506;Right-Back
5508;Central Midfield
5508;Left Midfield
5521;Left Winger
5521;Right Winger
5527;Centre-Back
5531;Right-Back
5640;Left-Back
5651;Right Winger
5657;Second Striker
5668;Left-Back
5674;Central Midfield
5674;Centre-Back
5680;Right Winger
5683;Second Striker
5698;Attacking Midfield
5698;Central Midfield
5710;Attacking Midfield
5710;Left Midfield
5748;Central Midfield
5748;Centre-Back
5749;Right-Back
5751;Left Midfield
5751;Right-Back
5752;Defensive Midfield
5758;Defensive Midfield
5758;Left Midfield
5759;Defensive Midfield
5782;Attacking Midfield
5782;Defensive Midfield
5796;Attacking Midfield
5796;Left Winger
5803;Centre-Back
5819;Left Winger
5819;Left-Back
5832;Centre-Back
5835;Right-Back
5837;Centre-Back
5837;Right Midfield
5838;Right Midfield
5838;Right-Back
5850;Left Midfield
5850;Right Midfield
5860;Right-Back
5867;Attacking Midfield
5867;Left Midfield
5875;Central Midfield
5884;Centre-Back
5889;Left-Back
5890;Defensive Midfield
5896;Defensive Midfield
5919;Left Winger
5919;Right Midfield
5922;Central Midfield
5922;Left Midfield
5941;Centre-Back
5941;Right Midfield
5944;Sweeper
5953;Central Midfield
5953;Left Midfield
5984;Left Winger
5984;Right Winger
5990;Centre-Back
5990;Right-Back
5993;Right-Back
5997;Right Winger
6000;Defensive Midfield
6002;Central Midfield
6002;Centre-Back
6012;Left-Back
6012;Right-Back
6036;Right-Back
6046;Right Winger
6054;Left Midfield
6054;Second Striker
6065;Right-Back
6066;Left-Back
6076;Left Winger
6076;Second Striker
6077;Second Striker
6089;Central Midfield
6090;Defensive Midfield
6090;Right Midfield
