PlayerID;CompetitionID;Games;Goals;Assists;YellowCards;RedCards
130;L1;0;0;0;0;0
171;L1;0;0;0;0;0
274;L1;33;0;5;4;0
310;L1;15;1;1;4;1
361;L1;0;0;0;0;0
520;CL;10;4;0;1;0
520;L1;0;0;0;0;0
573;L1;0;0;0;0;0
678;L1;0;0;0;0;0
727;L1;0;0;0;0;0
1088;L1;0;0;0;0;0
3101;CL;2;0;0;0;0
3247;GB1;0;0;0;0;0
3387;CL;1;0;0;0;0
3406;CL;4;0;2;0;0
3406;GB1;0;0;0;0;0
3524;CL;0;0;0;0;0
3571;CL;8;6;1;1;0
3738;GB1;5;0;0;0;0
3787;GB1;21;4;0;0;0
3823;GB1;0;0;0;0;0
4250;GB1;0;0;0;0;0
4340;CL;8;0;1;1;0
4729;L1;15;1;1;1;0
4915;CL;2;0;0;0;0
5180;L1;2;0;0;0;0
6453;L1;28;2;4;5;0
6778;GB1;18;3;0;1;0
7463;CL;2;0;0;0;0
8058;GB1;0;0;0;0;0
9233;L1;6;0;0;0;0
9536;CL;4;0;0;0;0
10007;GB1;2;0;0;0;0
11349;L1;5;0;0;1;0
11353;GB1;24;0;0;2;0
12825;GB1;0;0;0;0;0
13806;L1;0;0;0;0;0
13820;CL;0;0;0;0;0
14183;GB1;41;7;7;0;0
14831;L1;0;0;0;0;0
14833;CL;3;0;0;0;0
14833;L1;0;0;0;0;0
14915;CL;3;1;0;0;0
15318;CL;0;0;0;0;0
15391;CL;3;0;0;0;0
15405;CL;0;0;0;0;0
16980;CL;10;4;1;1;0
16980;L1;0;0;0;0;0
17858;L1;0;0;0;0;0
18288;L1;0;0;0;0;0
21654;L1;0;0;0;0;0
25044;CL;2;0;0;0;0
25274;L1;0;0;0;0;0
25410;L1;13;0;0;1;1
32718;L1;10;0;0;1;0
38807;L1;3;0;0;1;0
40122;L1;0;0;0;0;0
48461;CL;2;0;0;0;0
57431;CL;1;0;0;0;0
58335;CL;2;0;0;0;0
76009;CL;0;0;0;0;0
77010;L1;0;0;0;0;0
77517;L1;0;0;0;0;0
78761;L1;0;0;0;0;0
79570;L1;0;0;0;0;0
80122;L1;0;0;0;0;0
84063;L1;0;0;0;0;0
84619;L1;0;0;0;0;0
84649;L1;0;0;0;0;0
85482;L1;0;0;0;0;0
85575;L1;0;0;0;0;0
87896;L1;13;1;0;1;0
88149;CL;10;2;0;2;0
94101;L1;0;0;0;0;0
95034;L1;0;0;0;0;0
95040;L1;0;0;0;0;0
95051;L1;3;0;0;0;0
95420;L1;0;0;0;0;0
95458;L1;0;0;0;0;0
96022;L1;0;0;0;0;0
96069;L1;12;0;3;2;0
96181;L1;0;0;0;0;0
96554;L1;0;0;0;0;0
96640;L1;20;1;0;1;0
96641;L1;0;0;0;0;0
97069;L1;0;0;0;0;0
97124;L1;0;0;0;0;0
97245;L1;0;0;0;0;0
97305;L1;0;0;0;0;0
97331;L1;0;0;0;0;0
97388;L1;30;0;0;0;1
97490;L1;0;0;0;0;0
97609;L1;0;0;0;0;0
99708;L1;0;0;0;0;0
99711;L1;0;0;0;0;0
99945;CL;4;2;0;1;0
100609;L1;22;1;0;2;0
101325;GB1;0;0;0;0;0
102299;CL;4;0;0;0;0
102498;GB1;0;0;0;0;0
102501;GB1;0;0;0;0;0
102506;GB1;0;0;0;0;0
102614;CL;1;1;0;0;0
103807;CL;2;1;0;0;0
106441;L1;0;0;0;0;0
106909;CL;1;0;0;0;0
106923;CL;0;0;0;0;0
107092;GB1;0;0;0;0;0
109044;L1;0;0;0;0;0
109194;L1;0;0;0;0;0
109249;L1;3;1;0;1;0
109443;L1;0;0;0;0;0
109708;L1;0;0;0;0;0
110257;L1;0;0;0;0;0
112152;L1;0;0;0;0;0
112485;L1;0;0;0;0;0
116148;GB1;0;0;0;0;0
116154;GB1;0;0;0;0;0
117195;GB1;217;1;0;0;0
119387;L1;0;0;0;0;0
120601;CL;1;0;0;0;0
127708;L1;0;0;0;0;0
133919;CL;9;1;0;0;0
134594;CL;3;0;0;1;0
143741;GB1;0;0;0;0;0
173047;CL;2;0;0;0;0
173071;CL;2;0;0;0;0
173071;GB1;0;0;0;0;0
174458;CL;5;0;1;0;0
175888;CL;1;0;0;0;0
175888;GB1;0;0;0;0;0
176745;GB1;0;0;0;0;0
176755;GB1;7;0;0;0;0
176930;GB1;17;0;0;3;0
177723;CL;1;0;0;0;0
177755;CL;2;0;0;0;0
177760;CL;2;0;0;0;0
178673;CL;1;0;0;0;0
178774;CL;0;0;0;0;0
178777;CL;4;0;0;0;0
178832;CL;2;0;0;0;0
179891;CL;2;0;0;0;0
181599;GB1;9;5;2;0;0
181664;CL;2;0;0;0;0
181971;CL;7;0;0;0;0
182844;CL;2;0;0;0;0
193796;GB1;0;0;0;0;0
222095;GB1;26;0;0;1;0
222734;CL;0;0;0;0;0
222734;GB1;2;0;0;0;0
223256;GB1;4;1;0;0;0
223575;GB1;29;0;0;0;0
224246;GB1;1410;31;0;0;0
226890;GB1;18;0;0;0;0
227076;GB1;5;0;0;1;0
228060;GB1;0;0;0;0;0
311203;CL;0;0;0;0;0
369976;CL;0;0;0;0;0
596611;CL;0;0;0;0;0
