ClubID;CompetitionID;NumParticipations;NumWon
1;L1;5;0
2;CL;1;0
2;L1;42;2
3;L1;39;2
4;L1;26;1
5;CL;11;3
8;L1;4;0
10;L1;15;0
11;CL;9;0
11;GB1;15;3
12;CL;4;0
13;CL;1;0
14;CL;2;0
15;CL;6;0
15;L1;28;0
16;CL;6;1
16;L1;40;3
18;L1;40;5
22;GB1;6;0
23;L1;20;1
24;L1;39;0
25;L1;4;0
26;CL;1;0
27;CL;11;1
27;L1;42;19
29;GB1;15;0
30;L1;11;0
31;CL;5;1
31;GB1;15;0
33;CL;2;0
33;L1;39;0
35;L1;7;0
36;CL;4;0
38;L1;22;0
39;L1;3;0
40;CL;2;0
41;CL;2;0
41;L1;44;3
42;L1;19;0
44;CL;1;0
44;L1;26;0
46;CL;6;0
48;L1;22;0
52;L1;27;0
56;L1;7;0
57;L1;4;0
58;CL;8;0
60;L1;10;0
66;L1;2;0
69;L1;1;0
71;L1;2;0
72;L1;20;1
79;CL;2;0
79;L1;42;3
80;L1;31;0
82;L1;10;0
85;L1;7;0
86;CL;4;0
86;L1;43;4
88;CL;1;0
91;L1;1;0
92;L1;1;0
95;L1;14;0
97;L1;4;0
101;L1;2;0
105;L1;2;0
107;L1;7;0
114;CL;4;0
116;CL;1;0
119;CL;2;0
122;CL;3;0
124;CL;8;0
129;L1;4;0
130;CL;1;0
131;CL;12;1
141;CL;10;0
148;GB1;15;0
150;CL;1;0
156;CL;2;0
162;CL;5;0
164;CL;1;0
164;GB1;13;1
170;CL;2;0
180;GB1;13;0
190;CL;2;0
195;CL;11;0
197;CL;8;0
204;CL;1;0
206;CL;1;0
208;CL;1;0
232;CL;9;0
234;CL;5;0
237;CL;1;0
238;CL;2;0
239;CL;1;0
244;CL;3;1
255;CL;1;0
265;CL;7;0
272;CL;2;0
279;CL;2;0
281;GB1;10;0
289;GB1;6;0
290;CL;2;0
294;CL;4;0
299;L1;3;0
301;CL;5;0
306;CL;1;0
312;CL;1;0
321;CL;1;0
328;L1;3;0
336;CL;3;0
337;GB1;4;0
338;CL;11;0
349;GB1;1;0
350;GB1;3;0
352;GB1;1;0
355;GB1;8;0
358;GB1;8;0
369;CL;1;0
371;CL;4;0
379;GB1;12;0
383;CL;11;0
398;CL;4;0
399;CL;2;0
399;GB1;12;0
403;CL;1;0
405;GB1;15;0
409;CL;1;0
410;CL;1;0
418;CL;11;3
419;CL;3;0
430;CL;1;0
447;CL;1;0
459;L1;3;0
504;CL;2;0
506;CL;10;1
540;CL;1;0
543;GB1;1;0
583;CL;4;0
602;CL;1;0
610;CL;8;1
621;CL;1;0
631;CL;5;0
631;GB1;15;2
641;GB1;12;0
660;CL;3;0
669;CL;1;0
677;GB1;5;0
681;CL;1;0
683;CL;10;0
687;CL;1;0
699;CL;1;0
703;GB1;5;0
709;CL;1;0
720;CL;12;1
762;CL;2;0
762;GB1;14;0
790;CL;1;0
801;CL;4;0
826;CL;2;0
873;GB1;4;0
897;CL;5;0
931;GB1;6;0
932;CL;3;0
938;CL;1;0
940;CL;1;0
984;GB1;3;0
985;CL;13;1
985;GB1;15;9
990;GB1;9;0
991;GB1;8;0
995;CL;2;0
1003;GB1;8;0
1008;CL;2;0
1010;GB1;2;0
1020;GB1;4;0
1027;GB1;2;0
1032;GB1;1;0
1035;GB1;8;0
1039;GB1;4;0
1041;CL;7;0
1043;CL;2;0
1049;CL;5;0
1050;CL;1;0
1053;CL;1;0
1064;CL;1;0
1071;GB1;2;0
1078;GB1;2;0
1082;CL;3;0
1123;GB1;4;0
1180;CL;1;0
1184;CL;1;0
1231;CL;1;0
2149;L1;1;0
2227;CL;1;0
2282;CL;4;0
2410;CL;3;0
2441;CL;6;0
2503;CL;2;0
2781;CL;1;0
2784;CL;1;0
3471;CL;1;0
3793;CL;1;0
4772;CL;1;0
5608;L1;1;0
5849;CL;1;0
9026;CL;1;0
10493;CL;1;0
10603;CL;1;0
21955;CL;1;0
