TrainerID;Nationality
13;Croatia
34;Hungary
44;Germany
62;Germany
81;Germany
201;Germany
213;France
262;Italy
279;Germany
461;England
614;Scotland
624;Spain
631;Belgium
829;Germany
843;Germany
844;Germany
845;Germany
846;Germany
847;Germany
848;Germany
849;Germany
850;Germany
851;Germany
860;Germany
862;Austria
863;Germany
864;Germany
865;Germany
866;Germany
867;Germany
868;Germany
869;Croatia
872;Germany
875;Germany
876;Germany
878;Croatia
879;Germany
880;Hungary
881;Germany
882;Germany
883;Germany
884;France
884;Romania
885;Austria
889;Germany
890;Kosovo
890;Serbia
891;Germany
893;Germany
897;Croatia
898;Serbia
899;Germany
900;Germany
903;Germany
905;Germany
908;Germany
912;Austria
914;Germany
917;Germany
918;Germany
923;Germany
924;Germany
925;Germany
926;Germany
929;Germany
930;Germany
936;Germany
939;Germany
944;Germany
947;Germany
948;Germany
949;Germany
952;Turkey
953;Germany
954;Germany
955;Germany
957;Germany
958;Germany
964;Germany
969;Poland
973;Germany
974;Germany
975;Germany
976;Germany
977;Germany
978;Germany
979;Germany
981;Germany
982;Germany
982;Switzerland
987;Czech Republic
990;Romania
992;Germany
993;Germany
994;Austria
995;Germany
996;Germany
997;Germany
1017;Serbia
1025;Germany
1027;Germany
1033;Germany
1034;Germany
1035;Germany
1036;Germany
1067;Russia
1067;UdSSR
1082;Germany
1183;Hungary
1343;Netherlands
1406;Germany
1407;Germany
1448;Germany
1449;Germany
1516;Hungary
1517;Germany
1518;Germany
1521;Germany
1580;Germany
1669;Germany
1687;Russia
1687;UdSSR
1708;England
1790;Russia
1790;UdSSR
1805;Brazil
1821;Germany
1910;Croatia
1910;Switzerland
1932;Italy
1938;Austria
1939;Hungary
2027;Italy
2123;Italy
2281;Germany
2311;Germany
2311;Switzerland
2637;England
2691;Czech Republic
2695;Slovakia
2697;Slovakia
2708;Romania
2923;Argentina
3005;Austria
3007;Austria
3065;Russia
3065;UdSSR
3120;Sweden
3121;Sweden
3325;Sweden
3338;Germany
3742;Netherlands
3843;Netherlands
4001;France
4006;France
4082;Hungary
4082;Romania
4335;Switzerland
4618;Germany
4995;Russia
4995;UdSSR
5192;Ukraine
5239;Scotland
5240;Hungary
5240;Ukraine
5480;Poland
5563;Ukraine
5572;Italy
5727;Austria
5762;Spain
5781;Italy
5786;Italy
6116;England
6163;Germany
6276;Austria
6495;Estonia
6495;UdSSR
6497;Russia
6497;UdSSR
6593;Slovenia
6594;Austria
6597;Slovakia
6598;Austria
6754;Hungary
6792;Germany
7277;Netherlands
7302;Russia
7302;UdSSR
7427;Germany
7448;Germany
7585;England
7647;Russia
7647;UdSSR
8675;Luxembourg
8712;Germany
8726;Austria
8772;Serbia
8860;Germany
8879;Germany
8950;Russia
9108;Hungary
9182;Denmark
9268;Greece
9282;England
9313;Germany
9371;Netherlands
9455;England
9564;Germany
9599;Croatia
9607;Argentina
9609;Germany
9616;Germany
9723;Germany
9732;Austria
9810;Germany
9829;Germany
9830;Germany
9834;Germany
9835;Belgium
9838;Germany
9839;Hungary
9847;Germany
9862;Germany
9864;Germany
9866;Germany
9869;Germany
9873;Germany
9874;Germany
9894;Germany
9902;Germany
9925;Germany
9934;Austria
9935;Germany
10001;Germany
10009;Russia
10009;UdSSR
10029;Germany
10100;Germany
10114;Germany
10115;Germany
10190;Germany
10193;Croatia
10356;Germany
10484;Turkey
10529;Germany
10533;Scotland
10536;Germany
10536;Poland
10552;Bosnia-Herzegovina
