PlayerID;ClubID;Since
116;16;1999-07-01
130;16;1992-07-01
166;25;2000-07-01
171;25;2000-07-01
176;25;2000-01-01
178;25;2000-07-01
185;25;2000-07-01
205;164;2001-10-01
214;27;1998-07-01
233;30;1995-07-01
256;30;2000-07-01
274;33;1993-07-01
310;41;1996-01-01
331;44;2000-07-01
361;2;1994-07-01
406;60;1998-07-01
407;60;2001-07-01
432;24;2000-07-01
445;24;2001-01-01
455;24;1999-07-01
462;66;2000-07-01
520;86;1989-07-01
524;10;2001-07-01
555;72;2001-01-01
573;72;1998-01-01
618;15;2001-07-01
627;80;2000-07-01
635;57;2001-07-01
669;22;2000-11-01
678;82;2000-07-01
690;86;2001-07-01
710;41;2001-01-01
721;129;2001-07-01
727;57;1999-07-01
758;35;2000-07-01
830;85;1999-07-01
840;65;1996-07-01
866;65;1999-11-15
885;57;2000-01-01
924;8;2000-07-01
928;8;2000-07-01
976;127;1998-07-01
992;1;2001-07-01
1080;24;1999-07-01
1082;41;2001-07-01
1088;25;1995-07-01
1139;94;2001-07-01
1158;39;2001-07-01
1219;89;2000-07-01
1226;21;1994-07-01
1291;89;1998-07-01
1301;48;2000-07-01
1331;79;2001-07-01
1334;42;2001-07-01
1370;35;2001-07-01
1396;16;2001-09-23
1399;1;2001-07-01
1451;301;1997-07-01
1538;720;2000-08-01
1557;62;1994-07-01
1562;44;2001-07-01
1758;66;1997-07-01
1847;97;1996-07-01
1993;107;2001-01-01
2099;25;1996-07-01
2112;21;2001-06-01
2205;23;2000-07-01
2211;94;2000-07-01
2348;91;2000-07-01
2491;328;1995-07-01
2605;107;2000-07-01
2649;56;2000-07-01
2919;168;1996-08-01
2922;170;1998-07-01
2923;170;2000-07-01
2959;14;2001-11-16
2964;409;1997-07-30
2983;409;2001-07-01
2999;512;2001-03-12
3056;122;1989-07-01
3089;358;2001-01-01
3101;43;2000-01-01
3109;31;1998-08-01
3175;631;2000-07-01
3211;29;1999-08-01
3236;405;1998-07-01
3247;641;2000-10-20
3267;306;2001-01-01
3299;337;1993-12-01
3300;583;1999-07-01
3335;371;1999-07-01
3359;940;2001-07-01
3376;681;2000-07-01
3387;61;1998-07-01
