PlayerID;Nationality
116;Bosnia-Herzegovina
130;Germany
166;Germany
171;Poland
176;Hungary
178;North Macedonia
185;Hungary
205;Sweden
214;Bosnia-Herzegovina
214;Germany
233;Germany
256;Germany
274;Czech Republic
310;Germany
331;Germany
361;Germany
406;Germany
407;Germany
432;Germany
445;Germany
455;China
462;Australia
462;Croatia
501;Germany
520;Germany
524;Germany
524;Poland
555;Germany
573;Australia
573;Croatia
618;Germany
618;Turkey
627;Germany
635;Germany
669;Scotland
678;Germany
690;Croatia
710;Netherlands
721;Germany
727;Germany
758;Germany
830;Israel
840;Germany
866;Nigeria
885;Bosnia-Herzegovina
924;Germany
928;Germany
976;Germany
976;Turkey
1080;Germany
1082;Germany
1088;Germany
1139;North Macedonia
1158;Switzerland
1219;Albania
1226;Germany
1291;Germany
1301;Germany
1318;Germany
1370;Argentina
1370;Italy
1396;Brazil
1396;Spain
1399;Brazil
1399;Italy
1402;Germany
1451;Romania
1538;Slovenia
1557;Czech Republic
1562;Germany
1676;Hungary
1676;Romania
1682;Germany
1682;Italy
1758;Germany
1847;Germany
1993;Germany
1993;Italy
2099;Germany
2112;Nigeria
2153;Germany
2196;Germany
2205;Albania
2211;Germany
2348;Germany
2369;Germany
2374;Germany
2479;Germany
2491;Germany
2522;Germany
2605;Brazil
2627;Germany
2703;Denmark
2827;Austria
2919;Poland
2922;Austria
2959;Norway
2964;Austria
2964;Hungary
2983;Austria
2986;China
2990;Argentina
2990;Italy
2999;Nigeria
2999;Scotland
3018;Austria
3028;Austria
3056;Austria
3075;Austria
3089;South Africa
3101;Finland
3109;England
3175;Netherlands
3175;Suriname
3194;Brazil
3211;Mozambique
3211;Portugal
3214;Czech Republic
3236;England
3247;England
3247;Nigeria
3267;Sweden
3299;England
3300;Algeria
3335;Indonesia
3335;Netherlands
3359;Brazil
3359;Spain
3376;Germany
3376;Turkey
3387;Switzerland
3405;England
3406;Wales
3418;Argentina
3418;Spain
3504;Turkey
3508;Italy
3524;Italy
3535;Spain
3545;England
3557;Netherlands
3561;Netherlands
3571;Croatia
3606;Ireland
3608;United States
3641;England
3655;Ireland
3699;Italy
3722;England
3722;Ghana
3738;England
3738;Wales
3783;England
3783;Scotland
3787;England
3813;Australia
3813;Italy
3823;Norway
3911;France
3983;Trinidad and Tobago
4000;England
4015;France
4015;Guadeloupe
4142;Austria
4142;Uruguay
4243;England
4244;England
4250;England
4281;France
4291;Italy
4296;Germany
4319;Czech Republic
4336;Belgium
4336;Ghana
4340;Netherlands
4358;Serbia
4368;Ghana
4368;Netherlands
4372;Netherlands
4375;Netherlands
4375;Suriname
4378;Brazil
4378;Netherlands
4383;Sweden
4405;Finland
4409;Finland
4423;Belgium
4556;Curacao
4556;Netherlands
4570;Indonesia
4570;Netherlands
4574;Curacao
4574;Netherlands
4578;Northern Ireland
4605;Belgium
4605;Serbia
4614;Belgium
4729;Czech Republic
4819;Benin
4819;Switzerland
4837;Switzerland
4915;Switzerland
4925;Switzerland
4942;Argentina
4942;Bolivia
4943;Netherlands
4966;Croatia
4971;Austria
5106;Germany
5123;Germany
5180;Germany
5183;Germany
5344;France
5344;Spain
5359;France
5367;France
5372;France
5406;France
5427;France
5435;France
5435;Portugal
5447;France
5473;France
5481;France
5481;Poland
5535;Italy
5540;Argentina
5540;Italy
5546;Algeria
5546;France
5559;France
5592;France
5638;France
5656;Australia
5656;North Macedonia
5710;France
5710;Guinea
5720;France
5725;Belgium
5754;Italy
5815;France
5815;Senegal
5832;Italy
5840;Italy
5885;Colombia
5894;Italy
5904;Italy
5930;Italy
5944;Greece
5961;Italy
5975;Ghana
5992;Italy
6010;Italy
6060;Italy
6062;Italy
6091;Italy
6098;Italy
6101;Turkey
6107;France
6107;Senegal
6156;Korea, South
6161;Romania
6242;Portugal
6316;Austria
6351;Germany
6381;Germany
6395;Italy
6452;Germany
6453;Germany
6605;Germany
6778;England
6781;Italy
6789;Germany
6939;Cameroon
6939;France
6955;Turkey
7007;Turkey
7080;Brazil
7162;Turkey
7163;Turkey
7194;England
7194;Turkey
7204;Turkey
7213;Turkey
7231;Turkey
7463;Norway
7464;Spain
7489;Brazil
7489;Spain
7492;Spain
7504;Spain
7514;Spain
7535;Spain
7539;Argentina
7539;Italy
7559;Brazil
7559;Spain
7571;Spain
7577;Spain
7577;Uruguay
7608;Spain
7681;Colombia
7702;Spain
7710;Italy
7710;Uruguay
7744;Spain
7821;Spain
7832;Spain
7871;Spain
7871;Uruguay
7899;Spain
7978;Argentina
7978;Italy
8015;Argentina
8015;Spain
8037;Spain
8058;England
8058;St. Kitts & Nevis
8292;Germany
8542;Liberia
8864;Germany
9147;Germany
9194;Germany
9233;Croatia
9480;Germany
9536;Romania
9630;Brazil
9644;Russia
9696;Greece
9754;Greece
9758;Germany
9789;Brazil
9806;Portugal
9811;Portugal
9821;Greece
9855;Greece
9864;Bulgaria
9984;Denmark
10007;Ireland
10290;Serbia
10566;Germany
10682;Germany
10986;Germany
10986;United States
11349;Poland
11353;England
11353;Ireland
11689;Scotland
12368;Norway
12383;Norway
12575;Scotland
12700;Austria
12700;Bosnia-Herzegovina
12726;England
12727;Wales
12732;Scotland
12825;Scotland
12886;Czech Republic
12919;Greece
12946;Greece
13008;Belgium
13008;Kenya
13061;Belgium
13101;Belgium
13125;Portugal
13189;Portugal
13228;Brazil
13379;Belgium
13414;England
13469;Greece
13509;England
13515;England
13515;Jamaica
13536;Canada
13536;Italy
13543;Scotland
13548;England
13574;England
13640;England
13656;England
13710;England
13786;England
13787;Scotland
13806;Germany
13820;Portugal
13864;Morocco
13886;Portugal
13894;France
13897;Hungary
13908;Belgium
13969;Brazil
13991;England
14006;Jamaica
14048;England
14063;England
14110;Portugal
14183;England
14384;Portugal
14387;Netherlands
14387;Suriname
14509;Sweden
14510;Portugal
14831;Germany
14833;Germany
14861;Netherlands
14862;Belgium
14915;Denmark
15004;Romania
15089;Russia
15142;Greece
15146;Greece
15162;Morocco
15162;Netherlands
15264;Bulgaria
15295;Netherlands
15318;Latvia
15323;Croatia
15391;Denmark
15405;Latvia
15453;Italy
15544;Jamaica
15643;Norway
15665;Russia
15675;Czech Republic
15852;Russia
15856;Georgia
15927;England
15939;Brazil
15946;Finland
15998;England
16008;Georgia
16010;Czech Republic
16066;Serbia
16071;Turkey
16218;Argentina
16218;Italy
16342;Austria
16602;Serbia
16610;Nigeria
16625;Germany
