ClubID;CompetitionID;NumParticipations;NumWon
1;L1;1;0
2;L1;3;0
3;L1;3;1
4;L1;3;0
16;L1;3;0
18;L1;1;0
23;L1;3;0
24;L1;3;0
27;L1;1;0
33;L1;3;0
41;L1;3;0
42;L1;2;0
44;L1;2;0
48;L1;3;0
52;L1;3;0
72;L1;3;1
79;L1;3;0
86;L1;3;1
91;L1;1;0
328;L1;2;0
5608;L1;1;0
