PlayerID;ClubID;Since
116;282;2003-01-01
130;16;1992-07-01
166;25;2000-07-01
171;299;2004-07-01
176;279;2007-07-01
178;25;2000-07-01
185;25;2000-07-01
205;272;2007-07-01
214;82;2011-07-04
233;30;1995-07-01
256;25;2002-07-01
274;197;2003-07-01
310;41;1996-01-01
331;44;2000-07-01
361;86;2003-07-01
406;60;1998-07-01
407;60;2001-07-01
432;69;2006-07-01
445;24;2001-01-01
455;35;2002-07-01
462;370;2003-07-01
520;86;1989-07-01
524;80;2006-07-01
555;66;2010-07-01
573;663;2007-01-01
618;164;2010-01-01
627;80;2008-07-01
635;299;2006-07-01
669;22;2000-11-01
678;82;2000-07-01
690;39;2012-09-04
710;8;2003-07-01
721;129;2001-07-01
727;57;1999-07-01
758;222;2012-08-06
830;85;2004-07-01
840;65;1996-07-01
866;105;2011-01-01
885;2573;2003-07-01
924;459;2003-07-01
928;23826;2009-07-01
976;127;1998-07-01
992;38;2014-07-01
1047;141;2004-06-30
1080;92;2014-01-06
1082;30;2007-07-01
1088;25;1995-07-01
1139;39;2004-07-01
1158;116;2003-07-01
1219;89;2000-07-01
1226;23;2002-07-01
1291;89;1998-07-01
1301;80;2012-07-01
1318;1;2013-07-01
1331;533;2015-07-24
1334;26490;2012-07-01
1370;105;2010-08-01
1396;79;2007-07-01
1399;119;2004-07-01
1402;279;2014-07-01
1451;265;2002-07-01
1538;4772;2005-07-01
1557;42;2004-06-30
1562;92;2015-07-01
1572;162;2012-01-23
1668;533;2004-01-01
1676;85;2002-07-01
1682;80;2010-07-01
1758;66;2005-07-01
1847;299;2002-07-01
1993;107;2001-01-01
2099;25;1996-07-01
2112;21;2002-06-01
2153;533;2002-07-01
2196;4795;2004-07-01
2205;23;2000-07-01
2211;187;2012-01-31
2348;91;2000-07-01
2369;71;2007-07-01
2374;16;2008-07-01
2491;328;1995-07-01
2530;107;2012-01-01
2605;107;2000-07-01
2627;167;2002-07-01
2649;57;2011-12-17
2703;173;2011-07-01
2827;85;2006-07-01
2919;256;2008-01-29
2922;170;1998-07-01
2923;941;2017-01-20
2959;14;2002-07-01
2964;2444;2011-07-01
2983;409;2001-07-01
2986;52;2011-07-01
2990;82;2003-01-01
2999;1010;2013-05-31
3018;413;2005-07-06
3028;413;2004-08-01
3056;122;1989-07-01
3061;413;2010-07-10
3075;413;2009-06-30
3089;358;2001-01-01
3101;1020;2009-08-01
3109;31;1998-08-01
3175;603;2007-07-01
3194;265;2008-07-01
3211;641;2006-11-01
3214;377;2004-08-01
3236;1003;2010-10-01
3247;350;2008-01-18
3267;1118;2011-10-01
3299;1110;2010-07-01
3300;281;2002-01-01
3335;1027;2005-07-01
3359;281;2009-08-01
3376;114;2004-08-09
3387;61;2007-07-01
3405;164;2016-09-21
3406;985;1991-07-01
3418;398;2005-06-30
3498;91;2020-07-29
3504;3;2005-08-01
3508;46;2007-06-30
3524;417;2004-01-08
3535;985;2004-06-30
3545;1132;2003-07-01
3557;610;2006-07-01
3561;762;1999-08-13
3571;641;2000-08-07
3606;991;2009-12-01
3608;931;2007-08-23
3632;678;2003-07-01
3640;1110;2014-09-01
3641;1003;2007-07-01
3655;1110;2017-05-01
3668;355;2018-09-24
3699;398;2004-07-01
3722;1003;2005-07-01
3738;990;2004-07-01
3783;677;2005-07-01
3787;429;2005-07-01
3813;603;2003-09-01
3823;124;2003-07-01
3868;337;2008-01-01
3911;244;2006-01-06
3928;1027;2011-09-15
3983;1519;2003-07-01
4000;677;2005-10-01
4015;398;2013-02-06
4076;1039;2006-12-29
4086;677;2014-09-11
4108;1181;2017-01-31
4142;170;2003-07-01
4243;1078;2015-07-30
4244;1096;2006-07-25
4250;990;2005-09-01
4268;931;2003-07-01
4281;543;2003-01-02
4291;6195;2011-06-30
4296;105;2006-07-01
4319;18;2009-01-01
4336;192;2009-07-01
4340;383;1994-06-30
4357;610;2017-07-01
4358;713;2011-08-01
4368;2275;2008-07-01
4371;289;2018-07-20
4372;18;2007-07-01
4375;383;2005-07-01
4378;234;2004-06-30
4383;1118;2016-09-16
4405;20924;2016-08-02
4409;1008;2006-07-01
4423;204;2007-01-01
4510;468;2005-07-01
4533;8;2011-07-01
4556;409;2008-07-01
4570;403;2014-01-16
4574;403;1998-07-01
4578;1035;2005-01-01
4605;2282;2011-07-01
4614;192;1999-07-01
4729;30;1991-07-01
4763;2778;2007-07-01
4792;3793;2011-07-01
4819;321;2004-07-01
4837;452;2005-12-31
4896;116;2001-07-01
4915;434;2003-01-01
4920;533;2004-07-01
4923;26;2007-07-01
4925;434;2003-01-01
4942;116;2007-07-19
4943;260;2000-08-01
4966;419;1999-07-01
4971;2444;2003-07-07
5106;107;2001-01-01
5123;99;2000-07-01
5180;299;2000-07-01
5183;299;2003-07-01
5229;5378;2019-09-03
5233;113;2007-07-01
5344;1041;2001-07-01
5359;1041;2001-07-01
5367;260;2011-01-31
5372;40;2000-07-01
5374;162;2011-06-30
5406;1082;2011-07-01
5427;290;2002-06-30
5435;290;2005-06-30
5447;969;1999-07-01
5473;417;2007-07-01
5481;826;1985-07-01
5535;417;2000-07-01
5540;417;1998-07-01
5546;417;2005-06-30
5559;583;2004-06-30
5592;969;2009-07-01
5638;667;2009-07-01
5656;22;2008-01-01
5710;969;2001-07-01
5720;969;2008-07-01
5725;3057;1999-07-01
5754;506;2004-06-01
5815;5;2007-07-01
5832;5;2006-07-01
5840;416;2005-01-01
5878;430;2015-01-26
5885;6195;2003-07-01
5894;1038;2006-07-01
5904;506;2012-06-30
5930;1025;2006-01-01
5944;2441;2010-07-01
5961;130;2005-07-01
5975;448;2012-01-01
5992;1025;2006-08-01
6010;1038;2006-07-01
6060;410;2008-08-01
6062;2441;2013-08-26
6091;506;2009-08-31
6098;1038;2007-07-01
6101;141;2002-08-29
6107;3008;2012-07-21
6156;16;2008-08-01
6161;8;2011-01-01
6242;336;2008-07-01
6316;14;2009-07-01
6351;94;2001-07-01
6381;127;2000-12-01
6395;430;2003-07-01
6403;8;2011-07-01
6405;416;2010-06-30
6453;72;1993-07-01
6605;1;1997-01-01
6778;991;1993-07-01
6781;1038;1999-07-01
6789;187;2001-07-01
6855;984;2015-06-30
6939;990;2003-07-25
6953;36;2010-06-30
6955;20;2009-01-22
6976;1402;2012-07-18
7007;449;2000-10-26
7080;36;2003-07-01
7162;114;2000-06-14
7163;114;2005-06-29
7194;141;2003-07-01
7204;449;1998-06-30
7213;141;2002-06-30
7231;141;1993-08-09
7276;58;2003-06-30
7451;11;2011-08-31
7463;195;2005-01-01
7464;681;1997-07-01
7489;897;1993-07-01
7492;897;1998-07-01
7504;379;2008-10-01
7514;1049;2007-07-01
7519;237;2009-08-01
7535;150;2005-06-30
7539;940;2001-01-30
7559;940;2004-08-01
7571;1049;2006-06-30
7577;1049;2004-06-30
7600;131;2002-07-01
7608;683;2005-07-01
7624;940;2010-07-01
7681;237;2002-07-01
7702;368;2002-07-01
7710;368;1999-07-01
7744;1084;2007-01-01
7767;13;2016-07-04
7821;3793;2006-01-01
7832;1050;2000-07-01
7871;1049;2008-06-30
7899;681;2010-07-01
7978;683;2007-07-01
8015;1050;2002-01-01
8037;398;2001-06-30
8058;350;2006-01-01
8155;897;2006-07-01
8189;156;2012-02-11
8292;57;2005-07-01
8326;1049;2005-06-30
8542;244;2000-10-18
8661;38;2002-07-01
8710;449;1999-07-01
9038;92;2007-07-01
9147;101;2002-07-01
9194;101;2000-07-01
9222;1020;2013-09-05
9233;39;1996-01-01
9340;52;2019-07-02
9381;349;2010-07-01
9480;92;2001-01-01
9536;260;2004-07-01
9592;192;2008-07-01
9630;150;2007-12-01
9644;2410;2004-01-01
9696;683;1999-07-01
9707;683;2006-06-30
9754;683;2003-07-01
9758;91;1987-07-01
9789;338;2008-12-31
9806;294;2008-06-30
9811;336;2010-01-01
9821;1020;2009-02-02
9855;2441;2003-07-01
9864;2441;1999-07-01
9984;3426;2010-01-01
9985;1132;2002-07-01
10003;1003;2012-01-30
10007;8780;2008-01-01
10059;260;2017-06-30
10290;2441;2005-01-01
10294;669;2003-07-01
10566;57;2007-01-01
10682;82;1993-01-01
10986;222;2000-07-01
11061;69;2015-07-01
11349;124;2002-06-30
11353;3909;2005-07-01
11689;703;2005-07-01
11757;76;2017-07-21
12147;583;2003-07-01
12225;129;2005-06-30
12233;10;2011-07-01
12359;1237;2015-07-06
12368;3837;2004-07-01
12383;195;1993-12-01
12390;995;2003-07-01
12517;358;2014-10-31
12563;141;2014-09-01
12575;991;2009-07-25
12596;43;2001-07-01
12700;129;2006-07-01
12703;903;2016-01-22
12726;352;2005-07-01
12727;603;1994-07-01
12732;2553;2014-03-26
12763;43;2019-08-01
12825;511;2003-07-01
12886;941;2006-07-01
12919;4603;2005-01-01
12946;4603;2005-01-01
13008;2973;2001-09-17
13061;204;2013-08-20
13101;1096;2011-08-31
13125;2503;2006-07-01
13189;294;2000-12-31
13228;294;2005-06-30
13245;677;2002-03-01
13350;1035;2015-07-09
13379;1073;1995-07-01
13384;1078;2009-03-01
13403;1032;2005-12-01
13409;1035;1998-07-01
13414;1027;2008-07-01
13469;2784;2005-07-01
13509;399;2011-07-01
13515;677;2013-01-05
13536;1189;2009-01-01
13543;1035;2010-07-01
13548;350;2003-07-01
13557;8780;2016-01-01
13574;2288;2005-07-01
13597;1078;2007-05-06
13640;180;2006-07-01
13656;352;2007-01-09
13710;1078;2004-12-01
13748;448;2015-07-01
13786;1010;2005-02-01
13787;873;2008-05-01
13806;931;1999-10-01
13820;336;1999-07-01
13864;3057;2001-07-01
13886;631;2006-07-01
13894;873;2003-07-01
13897;1096;2003-08-07
13902;204;2011-08-11
13904;4959;2011-07-01
13908;1096;1997-07-01
13914;1096;2002-08-23
13946;43;2020-04-30
13969;720;2004-06-30
13993;1039;2011-12-31
14006;873;2009-07-01
14034;1110;2007-07-01
14048;3008;2013-05-16
14063;337;2012-09-25
14110;786;2015-07-15
14167;1039;1999-07-01
14183;1078;2004-07-01
14384;294;1995-07-01
14387;1078;2002-07-01
14509;10848;1999-01-01
14510;336;2001-01-01
14831;10;1996-07-01
14833;10;1996-07-01
14861;234;1999-06-30
14862;204;2008-07-01
14879;669;2010-08-01
14915;190;2001-07-01
15004;301;2011-01-01
15039;10;2006-07-11
15089;1186;2012-07-09
15142;1091;2004-12-31
15146;1091;1999-07-01
15162;1090;1998-07-01
15264;156;2000-07-01
15295;33;1997-07-01
15318;312;2009-05-01
15323;419;2007-01-01
15391;362;2000-07-01
15405;1043;1998-07-01
15453;6195;2000-09-01
15514;20;2007-08-01
15544;1027;2005-07-01
15643;687;2005-07-01
15665;964;2000-07-01
15675;107;2007-07-01
15763;383;2003-07-01
15801;621;2003-07-01
15852;2698;1997-01-01
15856;1043;2005-07-01
15927;991;2000-05-01
15928;1237;2012-05-01
15930;379;2019-07-01
15939;6251;2004-01-01
15946;20924;2017-08-01
15998;1027;2003-03-28
16010;62;2009-07-01
16066;20;2004-01-14
16071;20;2003-08-21
16124;897;2011-07-01
16218;101;2006-01-01
16319;38;2004-11-01
16324;113;2008-07-01
16342;413;2003-01-01
16520;24;2013-07-01
16602;1402;2006-07-01
16610;1044;2008-01-01
16625;38;2000-07-01
16649;932;2017-01-29
16726;105;2017-01-20
16768;449;2014-06-30
16813;130;2007-07-01
16871;1025;2005-06-30
16958;602;2010-02-09
16980;148;1998-01-01
17039;409;2000-07-07
17046;2444;2008-07-07
17073;2444;2002-07-01
17076;127;2006-01-01
17107;964;2004-01-01
17186;116;2009-07-01
17191;77;2013-08-26
17199;208;2013-07-15
17228;2441;2006-07-01
17233;683;2000-07-01
17259;27;2011-07-01
17295;101;2017-07-01
17313;306;2010-06-30
17335;1008;2007-08-01
17350;2784;2007-07-01
17432;379;2012-01-04
17467;156;1999-01-01
17562;208;2006-01-01
17613;88;2008-01-01
17644;30;2018-07-20
17689;72;2016-07-01
17690;290;2006-07-01
17851;85;2011-07-01
17858;85;1998-07-01
17892;14;2008-07-01
17980;129;2004-07-01
17999;200;2007-06-30
18011;1011;2008-01-01
18240;1181;2008-01-01
18284;43;2001-04-14
18288;4;1987-07-01
18313;279;2002-07-01
18318;952;2015-07-01
18539;720;2007-07-01
18646;3426;2017-07-10
18908;10;2004-07-01
18914;276;2007-08-01
19071;187;2012-07-01
19183;1027;2007-02-01
19200;434;2004-01-01
19221;625;2006-07-01
19228;506;2006-07-01
19383;1096;1999-07-01
19441;276;2008-01-01
19445;1025;2006-01-01
19450;1184;2011-08-30
19457;65;2008-01-01
19580;116;2004-07-01
19693;204;2014-09-23
19708;276;2014-07-01
19717;527;2011-07-01
19728;321;2005-07-01
19819;18;2013-07-01
19839;3057;2004-07-01
20065;1084;2007-06-30
20105;321;2006-06-30
20439;105;2001-07-01
20451;71;2008-07-01
20551;52;2013-01-31
20586;200;2017-07-10
20709;85;2004-07-01
20828;952;2009-03-06
20975;349;2015-05-31
20978;352;2018-07-07
21055;216;2009-02-01
21090;964;2007-12-31
21099;5225;2007-07-01
21149;1025;2006-07-01
21171;1421;2006-07-01
21175;44;2016-07-01
21218;167;2004-07-01
21231;276;2009-08-01
21276;282;2013-07-15
21279;4603;2000-07-01
21341;71;2007-07-01
21354;2503;2015-01-05
21517;12;2017-06-30
21654;164;1999-06-30
21749;708;2012-07-01
21765;1038;2002-07-01
21882;312;2007-09-01
21913;1390;2005-07-01
22053;62;2013-09-19
22087;1025;2000-07-01
22147;1390;2000-01-01
22169;3426;2012-08-09
22180;443;2006-07-01
22192;398;1999-01-01
22231;991;2011-07-01
22237;416;2010-06-30
22244;9465;2012-02-01
22256;148;1989-07-01
22281;410;2000-07-01
22307;416;2010-01-01
22409;1421;2009-01-01
22455;16;1995-08-01
22591;511;2004-07-01
22620;416;2006-06-30
22645;543;2009-07-04
22646;5849;2007-05-01
22698;708;2003-07-22
22764;1075;2002-07-01
22802;511;2013-07-01
22805;416;2010-01-29
22829;173;2008-11-30
22841;1894;2010-01-01
22918;369;2005-07-01
23023;362;2013-07-13
23085;31;1999-06-30
23218;1123;2013-07-01
23219;681;2004-07-01
23496;369;2019-01-31
23579;1894;2018-07-07
23764;362;1996-07-01
23961;8685;2002-01-01
23981;667;2001-07-01
24039;339;2002-07-01
24049;338;2018-01-12
24054;339;2009-06-30
24185;730;2014-07-06
24205;720;2009-06-30
24211;429;2010-07-01
24278;790;2001-07-01
24312;416;2010-01-01
24379;36;2016-06-30
24420;683;2007-06-30
24487;2410;1997-04-01
24494;238;2007-06-01
24495;168;2006-07-01
24525;88;2020-02-28
24535;88;2007-01-01
24581;9211;2011-01-01
24658;197;2001-07-01
24670;10690;2012-01-01
24702;2503;2007-06-30
24719;434;2004-07-01
24868;279;2012-09-12
24871;2503;2000-07-01
24879;7769;2009-08-01
24951;2784;2012-01-01
25021;1186;2007-01-01
25044;232;2011-01-01
25070;1083;2003-01-01
25124;1225;2014-01-01
25132;1225;2002-01-01
25147;2055;2007-08-01
25226;2844;2005-01-01
25249;3426;2011-06-30
25274;8;1997-07-01
25383;990;2010-07-01
25410;101;1991-07-01
25453;354;1998-07-01
25472;2227;2010-07-01
25578;77;2011-01-01
25772;447;2003-07-01
25819;1083;2008-01-01
25820;660;2005-07-01
25857;1186;2006-01-01
25944;422;2006-07-01
26080;159;2008-06-30
26112;65;2005-07-01
26118;790;2007-01-01
26183;703;2012-07-25
26192;1073;2001-07-01
26200;2049;2019-08-09
26220;6251;2013-01-07
26374;157;1999-07-01
26427;195;2005-12-31
26454;272;2007-07-01
26497;4959;2014-01-30
26499;10442;2010-07-01
26547;1225;2006-07-01
