PlayerID;Nationality
32718;Croatia
57307;Italy
77517;Germany
78249;Austria
80122;Poland
84063;Germany
85482;Germany
89230;Mozambique
89230;Portugal
92267;Turkey
94101;Germany
95034;Germany
95420;Germany
95458;Germany
96022;Germany
96181;Germany
96554;Germany
97069;France
97069;Switzerland
97124;Germany
97305;Germany
97331;Denmark
97388;Germany
97490;Germany
97609;Denmark
99708;Kosovo
99708;Serbia
99711;Germany
100549;Austria
100670;Denmark
101169;DDR
101432;Germany
109443;Germany
109708;Germany
110257;Denmark
112485;Germany
116067;Uruguay
117404;Hungary
117490;France
118164;Belgium
119387;Germany
121090;Italy
127708;Sweden
128882;Italy
128987;France
128995;France
128995;Guadeloupe
130988;Belgium
132969;Slovakia
133753;Peru
135095;Spain
135284;Scotland
135304;Scotland
135587;Poland
135614;Portugal
135633;Netherlands
135645;Netherlands
135646;Netherlands
135788;Italy
135793;Italy
141879;Hungary
143555;Poland
145120;Croatia
145370;England
145370;Italy
145527;Sweden
146630;Serbia
146888;Finland
149003;Netherlands
149126;Netherlands
149221;Denmark
150319;Finland
150614;Netherlands
150641;Spain
154238;Netherlands
154256;Netherlands
159967;Spain
160386;Spain
165411;Ireland
166555;Italy
166555;Libya
166852;Romania
169281;Greece
169384;Slovakia
170710;Spain
176121;Scotland
176222;Northern Ireland
176274;England
176295;England
176327;England
176351;England
176675;England
176708;England
176708;Ireland
176738;Scotland
176826;England
176972;England
177242;Ireland
177288;Scotland
179292;Ukraine
180636;Northern Ireland
182004;Sweden
184854;Switzerland
187048;Netherlands
187698;Georgia
187710;Georgia
188573;Netherlands
193638;Italy
194575;Greece
200123;Spain
209194;Ukraine
213685;Romania
214171;Spain
215713;Czech Republic
215723;North Macedonia
215887;Georgia
216053;Hungary
216067;Hungary
222734;England
222810;Germany
222836;Germany
222878;England
222986;Italy
223750;Netherlands
224018;Italy
224061;England
224109;Italy
224584;Italy
228060;England
228238;Italy
230729;Netherlands
230738;Netherlands
231190;Germany
232282;Malta
232289;Malta
232456;Czech Republic
232878;Belgium
233104;Netherlands
233191;Uruguay
234403;Slovakia
234417;Slovakia
234444;Slovakia
236039;France
236052;France
236213;Switzerland
237710;England
237723;Brazil
237768;Serbia
237814;Croatia
243434;Netherlands
243512;Netherlands
243924;England
243936;Northern Ireland
243936;Scotland
245248;Spain
245309;Portugal
245359;Italy
246612;Netherlands
246766;Russia
247059;Czech Republic
247425;Scotland
247859;Italy
248795;Spain
249110;Finland
249181;Wales
249235;Italy
250106;Ukraine
250918;Italy
250948;Italy
250951;Italy
251034;England
251095;England
251095;Italy
251118;Scotland
255153;England
255171;Argentina
255327;Italy
256219;Wales
256232;Poland
257951;France
259195;Bulgaria
262148;Austria
266622;Bulgaria
266915;France
269867;Serbia
269867;Spain
285365;Malta
285416;Malta
289694;Italy
290281;Malta
295180;Belgium
295940;Romania
296016;Iceland
296358;Romania
296480;Scotland
296745;Wales
296954;Belgium
297793;Scotland
297949;Bulgaria
298315;Germany
298624;Russia
298780;Switzerland
298900;Macao
298900;Portugal
298996;Iceland
299013;Northern Ireland
299031;Romania
299068;Denmark
299188;Bosnia-Herzegovina
299210;Poland
299241;Sweden
299265;Norway
299337;South Africa
299478;Switzerland
299480;Malta
299645;Belgium
300963;Sweden
301070;Switzerland
301972;Italy
302229;Spain
302777;France
302953;Spain
303782;Northern Ireland
303943;Slovakia
304111;Romania
304599;Germany
304779;Luxembourg
304785;Norway
305006;Belgium
305340;Denmark
306504;Switzerland
306729;Brazil
306917;Italy
306932;Ireland
307956;Sweden
308991;Paraguay
308991;Spain
310576;Spain
314475;Netherlands
314630;Netherlands
319023;Serbia
324529;England
327383;Northern Ireland
328840;England
336541;Italy
348183;Germany
351982;Spain
367776;Italy
368012;Italy
368063;Italy
368515;Italy
378644;Sweden
389068;Italy
389576;Italy
405303;Italy
410921;Switzerland
413221;Austria
420351;Netherlands
421225;Netherlands
422678;Netherlands
426988;Turkey
430421;Italy
430427;Italy
431077;Italy
434739;Switzerland
439305;Turkey
446074;Hungary
447876;Italy
450072;France
452166;Scotland
454765;England
466389;England
475931;Italy
476455;Italy
476514;Italy
476927;Germany
479848;Belgium
480740;England
482946;England
495426;Luxembourg
495433;Italy
495433;Luxembourg
496617;France
496618;Argentina
498208;Scotland
499453;England
502079;England
502336;England
514487;Italy
519640;Denmark
523627;Italy
537493;Switzerland
562154;England
566806;Scotland
570040;Kosovo
570040;Turkey
577657;Bosnia-Herzegovina
587734;Switzerland
596213;Scotland
602711;France
604946;Switzerland
619126;England
621542;England
624965;England
626135;Wales
626281;England
626856;England
627432;Scotland
628929;England
638038;Sweden
638078;England
640456;England
642188;Switzerland
642195;Serbia
642571;Portugal
645026;Northern Ireland
645680;England
645780;England
655734;Italy
662543;Scotland
677404;England
677922;England
682474;Croatia
687038;Scotland
688692;England
690206;England
697284;Portugal
698461;Czech Republic
701091;England
702226;Turkey
711488;Germany
716185;England
717255;Cameroon
717918;Luxembourg
718165;Portugal
721525;England
723417;Scotland
724003;DR Congo
725241;England
725241;Italy
729206;Wales
729570;Scotland
729645;Argentina
729646;France
730711;Bulgaria
731098;Russia
731098;UdSSR
733598;Poland
737280;England
740211;Scotland
743970;Scotland
744187;Hungary
744400;Italy
744493;Denmark
745499;Scotland
746248;France
746301;France
746391;France
746771;Scotland
748583;Northern Ireland
749142;Poland
749357;Scotland
753360;Poland
753372;Poland
754455;France
774124;Hungary
790402;England
