PlayerID;Nationality
7489;Brazil
7489;Spain
14833;Germany
22256;England
25274;Germany
25410;Germany
27720;Austria
32718;Croatia
40122;Germany
57307;Italy
77517;Germany
78249;Austria
78761;Germany
78792;Germany
80122;Poland
81625;Germany
84063;Germany
84619;Germany
85482;Germany
85575;Germany
89230;Mozambique
89230;Portugal
92267;Turkey
94101;Germany
95034;Germany
95040;Germany
95420;Germany
95458;Germany
96022;Germany
96181;Germany
96554;Germany
96640;Germany
97069;France
97069;Switzerland
97124;Germany
97305;Germany
97331;Denmark
97388;Germany
97490;Germany
97609;Denmark
99708;Kosovo
99708;Serbia
99711;Germany
100549;Austria
100609;Poland
100670;Denmark
100919;Germany
101056;Germany
101136;Scotland
101169;DDR
101432;Germany
101752;Belgium
102299;Greece
102501;Ireland
103756;Portugal
109443;Germany
109708;Germany
110257;Denmark
112485;Germany
115908;Turkey
116067;Uruguay
116134;Denmark
116140;Denmark
116146;Scotland
116148;Scotland
116154;Scotland
116864;Portugal
117195;England
117404;Hungary
117490;France
117733;Algeria
117733;France
118144;Belgium
118164;Belgium
118202;Paraguay
119387;Germany
120418;Belgium
120540;Italy
121090;Italy
127708;Sweden
128882;Italy
128987;France
128995;France
128995;Guadeloupe
130988;Belgium
132389;Croatia
132792;Germany
132805;Bulgaria
132969;Slovakia
133753;Peru
135095;Spain
135284;Scotland
135304;Scotland
135587;Poland
135614;Portugal
135633;Netherlands
135645;Netherlands
135646;Netherlands
135657;Denmark
135788;Italy
135793;Italy
138001;Poland
141879;Hungary
142950;Austria
143555;Poland
145120;Croatia
145370;England
145370;Italy
145527;Sweden
146630;Serbia
146888;Finland
149003;Netherlands
149126;Netherlands
149221;Denmark
150319;Finland
150614;Netherlands
150641;Spain
150920;Netherlands
154238;Netherlands
154256;Netherlands
156209;Switzerland
159967;Spain
160386;Spain
165411;Ireland
166555;Italy
166555;Libya
166852;Romania
169184;Switzerland
169281;Greece
169384;Slovakia
170710;Spain
176088;England
176121;Scotland
176210;England
176222;Northern Ireland
176274;England
176295;England
176327;England
176351;England
176675;England
176708;England
176708;Ireland
176734;England
176738;Scotland
176755;England
176826;England
176930;England
176944;England
176972;England
177177;England
177242;Ireland
177288;Scotland
178832;England
179292;Ukraine
180629;Portugal
180636;Northern Ireland
182004;Sweden
182447;Lithuania
182844;Bosnia-Herzegovina
182844;Croatia
184854;Switzerland
187048;Netherlands
187698;Georgia
187710;Georgia
188573;Netherlands
191627;Hungary
193638;Italy
193796;England
194076;Germany
194575;Greece
200123;Spain
201881;Australia
201881;Serbia
206266;Finland
209194;Ukraine
213685;Romania
214165;Spain
214171;Spain
215081;Northern Ireland
215106;France
215713;Czech Republic
215723;North Macedonia
215887;Georgia
216053;Hungary
216067;Hungary
216584;France
217796;Italy
