TrainerID;ClubID;Since
9;195;1971-01-01
13;419;1974-07-01
34;1096;1971-07-01
44;1;1965-01-01
62;97;1972-09-19
81;72;1973-07-01
201;107;1974-04-01
213;290;1961-07-01
262;5;1974-04-08
279;24;1973-07-01
302;113;1971-07-01
461;677;1969-01-18
624;13;1974-11-26
631;1184;1971-07-01
729;56;1973-09-28
829;27;1970-03-13
843;86;1971-09-28
844;57;1971-04-16
845;86;1972-05-08
846;86;1969-07-01
847;4;1973-07-01
848;2444;1973-01-01
849;86;1972-07-01
850;16;1972-01-03
851;86;1953-07-01
860;101;1973-07-01
862;2282;1974-01-01
863;41;1973-07-01
864;41;1968-07-01
865;41;1967-07-01
866;41;1970-07-01
867;41;1966-04-18
868;41;1963-07-01
869;23;1974-07-06
876;44;1974-07-01
878;33;1971-07-01
879;16;1974-07-01
880;1091;1974-12-11
881;107;1968-07-01
882;2;1973-07-01
884;72;1972-09-01
885;395;1973-07-01
897;3;1973-09-17
898;1;1974-07-01
899;30;1965-07-01
903;222;1973-07-01
905;30;1969-07-01
908;30;1973-07-01
912;72;1974-07-01
923;44;1965-03-09
924;42;1974-03-13
925;44;1974-07-10
926;44;1974-07-17
929;459;1974-09-22
930;92;1974-07-01
936;52;1973-10-21
939;18;1964-07-01
953;79;1972-07-01
954;10;1974-01-01
955;80;1972-07-01
957;52;1965-02-23
964;2;1965-02-24
969;10;1969-07-01
970;71;1974-09-16
973;42;1970-07-01
974;57;1973-07-01
975;16;1968-04-18
976;16;1968-12-17
978;8;1970-07-01
979;48;1973-07-01
981;8;1974-11-04
982;260;1971-07-01
993;38;1970-07-01
994;72;1969-11-13
995;42;1970-01-02
996;79;1974-12-14
997;8;1971-07-01
1025;48;1971-07-01
1027;60;1972-07-01
1033;39;1971-01-01
1034;91;1974-07-01
1067;232;1937-01-01
1082;33;1967-07-01
1343;131;1971-07-01
1406;48;1968-07-01
1407;79;1969-07-01
1448;101;1924-07-01
1516;299;1974-10-21
1517;16;1972-07-01
1518;114;1974-10-21
1520;16;1974-02-15
1521;16;1972-11-01
1580;42;1971-11-18
1687;232;1939-04-01
1790;663;1949-05-17
1910;321;1971-09-09
1938;14;1962-07-01
1939;57;1960-07-01
2281;3;1972-07-01
2311;26;1965-07-01
2637;1035;1974-01-29
2697;540;1973-07-01
2708;114;1970-01-01
2709;496;1974-01-01
3065;232;1936-08-01
3120;2844;1958-01-01
3338;57;1974-07-01
4335;527;1974-05-23
5480;255;1972-05-05
5563;338;1973-10-20
5727;21951;1937-07-01
5781;5;1973-12-10
6116;984;1971-07-08
6495;232;1945-07-01
6497;232;1949-01-01
6593;2444;1974-07-01
6594;676;1974-08-24
6595;413;1974-07-01
6597;2444;1966-01-01
6598;14;1972-06-01
6754;58;1966-07-01
7281;7609;1967-07-01
7302;232;1951-06-05
7427;97;1971-07-01
7647;1186;1945-09-01
8712;3;1968-07-01
8726;27;1958-07-01
8772;448;1964-07-01
8860;79;1972-04-01
8879;1;1965-07-01
9108;4;1966-11-08
9182;5790;1974-07-01
9282;641;1973-05-07
9313;15;1960-07-01
9371;10;1972-02-01
9455;990;1974-07-01
9599;447;1973-07-01
9609;5790;1974-07-01
9616;105;1971-07-01
9732;3;1970-07-01
9810;65;1972-02-29
9830;4;1960-07-01
9835;2973;1967-07-01
9838;459;1971-07-01
9839;667;1971-01-31
9846;10;1974-07-01
9864;92;1971-07-01
9866;92;1974-01-01
9869;48;1965-10-19
9873;35;1972-07-01
9874;8;1974-09-25
9894;48;1966-11-02
9902;91;1969-01-01
9934;170;1971-11-01
9935;65;1974-07-01
10001;92;1974-01-21
10009;2410;1937-01-01
10029;8;1972-07-01
10100;5608;1965-07-01
10114;192;1974-03-01
10115;5608;1965-11-11
10190;8;1973-07-01
10193;328;1966-07-01
10484;114;1973-07-01
10603;43;1951-02-14
10643;418;1960-04-17
10656;29;1973-08-25
10665;42;1973-03-05
10683;1096;1973-07-01
11068;95;1970-07-01
11229;167;1974-07-01
11594;82;1966-07-01
11847;2418;1974-07-01
11880;459;1974-07-01
11886;42;1961-12-31
11901;379;1961-04-01
11908;72;1966-12-17
11974;2410;1960-12-01
12054;418;1974-07-01
12120;2055;1967-07-01
12172;91;1970-12-11
12227;82;1963-07-01
12253;8;1969-07-01
12256;92;1973-07-01
12280;48;1968-02-19
12286;8;1969-12-17
12297;56;1961-07-01
12321;371;1965-02-28
12326;260;1966-07-01
12545;114;1960-07-01
12564;14;1955-01-01
12980;71;1963-07-01
12987;35;1974-07-01
12991;101;1963-07-01
12999;459;1972-07-01
13024;5378;1972-01-01
13155;113;1958-08-17
13184;6764;1968-07-01
13195;256;1973-01-01
13285;932;1948-07-01
13333;800;1964-07-01
13406;932;1936-03-01
13581;1180;1947-09-04
13700;610;1910-07-01
13877;452;1973-07-01
14006;180;1973-11-18
14058;317;1972-07-01
14062;3057;1974-07-01
14273;468;1955-07-01
14398;2441;1974-07-01
14401;610;1973-07-01
14404;383;1972-07-01
14410;610;1971-07-01
14411;610;1974-07-01
14520;200;1968-07-01
14786;260;1935-07-01
14936;89;1974-07-01
15743;46;1942-07-01
16204;985;1970-12-29
16209;985;1969-08-11
16384;4040;1962-07-01
16465;3057;1963-07-01
16991;4603;1974-11-05
16993;2441;1958-07-01
16994;683;1972-07-01
16995;1091;1971-02-08
17059;618;1967-07-01
17060;13;1959-10-19
17179;3057;1968-07-01
